date,Close,High,Low,Open,Volume,aVWAP_peak_197,aVWAP_peak_180,aVWAP_peak_176,aVWAP_peak_164,aVWAP_peak_154,aVWAP_peak_145,aVWAP_peak_133,aVWAP_peak_119,aVWAP_peak_94,aVWAP_peak_75,aVWAP_peak_56,aVWAP_peak_44,aVWAP_peak_34,aVWAP_peak_23,aVWAP_valley_171,aVWAP_OB_bear_119,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,11.0956126111,11.4333601676,10.6890144291,10.8426181867,28682610,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,28682610.0,False,False,False,False
2022-01-07 00:00:00+00:00,12.3876912783,12.4509398844,11.0865770959,11.1317546717,52195701,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,52195701,3866348.222222222,False,False,False,False,30424320.444444448,False,False,False,False
2022-01-14 00:00:00+00:00,13.4177400061,13.5126129152,12.0744299679,12.3334781874,53864054,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,106059755,11436230.205761315,False,False,False,False,32160597.004115228,False,False,False,False
2022-01-21 00:00:00+00:00,12.6948987936,13.8695157639,12.5503305511,13.6526634001,53554112,,,,,,,,,,,,,,,,,,,#000000,,,,92.64970108748614,43.05167055926424,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,52505643,14478408.931260476,False,False,False,False,33745301.81862521,False,False,False,False
2022-01-28 00:00:00+00:00,13.0472838847,13.5713437637,11.7533981144,12.1708389146,66092340,,,,,,,,,,,,,,,,,,,#000000,,,,88.27017073201135,39.21312287393806,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,118597983,22190969.973389328,False,False,False,False,36141378.72094927,False,False,False,False
2022-02-04 00:00:00+00:00,13.9689064306,14.4730881763,12.9027156422,13.065354915,49811034,,,,,,,,,,,,,,,,,,,#000000,,,,86.75673918950957,38.181913348531765,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,168409017,33021936.419804934,False,False,False,False,37153945.77865673,False,False,False,False
2022-02-11 00:00:00+00:00,14.3303270368,14.4206821884,12.7039343088,13.9146933396,75111130,,,,,,,,,,,,,,,,,,,#000000,,,,86.13683342235637,37.94284156362377,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,243520147,48614396.462782346,False,False,False,False,39965589.05431178,False,False,False,False
2022-02-18 00:00:00+00:00,13.8875867942,14.6104280066,13.7475363093,14.2941849762,60912906,,,,,,,,,,,,,,,,,,,#000000,,,,83.02007267896585,35.25988581383659,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,182607241,58539792.3544281,False,False,False,False,41517242.1613998,False,False,False,False
2022-02-25 00:00:00+00:00,13.8153026729,14.3664690974,13.2641362484,14.3303270368,61777401,,,,,,,,,,,,,,,,,,,#000000,,,,80.38571634647553,33.066730711274545,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,120829840,63153869.9578038,False,False,False,False,43017994.667962775,False,False,False,False
2022-03-04 00:00:00+00:00,14.5110373399,14.5110373399,13.7520540668,13.8604802487,89994797,,,,,,,,,,,,,,,,,,,#000000,,,,79.72975984555279,32.74255067370987,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3316005934366703,0.3316005934366703,False,False,False,False,210824637,74092445.29426277,False,False,False,False,46497757.80366924,False,False,False,False
