date,Open,High,Low,Close,Volume,aVWAP_peak_411,aVWAP_peak_386,aVWAP_peak_350,aVWAP_peak_328,aVWAP_peak_281,aVWAP_peak_257,aVWAP_valley_428,aVWAP_valley_403,aVWAP_valley_372,aVWAP_valley_356,aVWAP_valley_312,aVWAP_valley_269,aVWAP_valley_241,aVWAP_valley_192,aVWAP_valley_149,aVWAP_OB_bull_428,aVWAP_OB_bear_257,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-02-20 17:00:00+00:00,13.63,13.77,13.595,13.715,67268.0,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,67268.0,False,False,False,False
2024-02-21 17:00:00+00:00,13.785,13.79,13.59,13.64,28132.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-28132.0,-436.15503875968994,False,False,False,False,66661.24031007753,False,False,False,False
2024-02-22 17:00:00+00:00,13.26,13.475,13.25,13.41,64792.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-92924.0,-1870.0751156781444,False,False,False,False,66632.25984015384,False,False,False,False
2024-02-23 17:00:00+00:00,14.145,14.25,14.1,14.21,80728.0,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,25.06963788300837,-27.437325905292468,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12196.0,-2030.166974349801,False,False,False,False,66850.79844728325,False,False,False,False
2024-02-26 17:00:00+00:00,14.335,14.45,14.315,14.44,89232.0,,,,,,,,,,,,,,,,,,,,#000000,,,,43.39959638550987,-12.444541526021624,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,77036.0,-804.3349282358506,False,False,False,False,67197.79382019358,False,False,False,False
2024-02-27 17:00:00+00:00,15.185,15.295,15.055,15.11,59589.0,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,58.216437896184395,-1.0114100888209094,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,136625.0,1326.3524349926122,False,False,False,False,67079.82802453166,False,False,False,False
2024-02-28 17:00:00+00:00,14.635,14.795,14.595,14.6,109163.0,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,60.753182123856504,-0.5248008115390377,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,27462.0,1731.556273209781,False,False,False,False,67732.28030322108,False,False,False,False
2024-02-29 17:00:00+00:00,14.795,14.825,14.675,14.725,61197.0,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,63.180845185919566,0.7991288934837897,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,88659.0,3079.2685790514897,False,False,False,False,67630.95812797734,False,False,False,False
2024-03-01 17:00:00+00:00,14.895,14.915,14.74,14.825,104773.0,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,65.38518682126764,2.571915668488735,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,193432.0,6030.473717360768,False,False,False,False,68206.8037383963,False,False,False,False
2024-03-04 17:00:00+00:00,13.66,13.715,13.375,13.4,221096.0,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,55.95464869290217,2.571915668488735,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-27664.0,5508.078776006338,False,False,False,False,70577.1788742351,False,False,False,False
