date,Open,High,Low,Close,Volume,aVWAP_peak_858,aVWAP_peak_810,aVWAP_valley_880,aVWAP_valley_879,aVWAP_valley_846,aVWAP_valley_798,aVWAP_valley_773,aVWAP_valley_750,aVWAP_valley_732,aVWAP_valley_702,aVWAP_valley_675,aVWAP_valley_674,aVWAP_valley_652,aVWAP_valley_607,aVWAP_valley_592,aVWAP_valley_570,aVWAP_valley_504,aVWAP_valley_478,aVWAP_valley_438,aVWAP_valley_406,aVWAP_valley_389,aVWAP_valley_353,aVWAP_OB_bull_773,aVWAP_OB_bull_652,aVWAP_OB_bull_353,aVWAP_OB_bear_810,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-16 15:00:00+00:00,3.385,3.46,3.35,3.37,5285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,5285.0,False,False,False,False
2025-01-16 16:00:00+00:00,3.37,3.445,3.365,3.385,6643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6643.0,102.9922480620155,False,False,False,False,5306.054263565891,False,False,False,False
2025-01-16 17:00:00+00:00,3.385,3.41,3.375,3.39,2267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,8910.0,239.53500390601528,False,False,False,False,5258.937143200528,False,False,False,False
2025-01-16 18:00:00+00:00,3.39,3.405,3.37,3.385,2394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,92.17391304347788,42.956521739130096,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6516.0,336.8445387291778,False,False,False,False,5214.519513073388,False,False,False,False
2025-01-16 19:00:00+00:00,3.385,3.41,3.37,3.4,3033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,90.41632610013926,41.84425870751666,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9549.0,479.6686544077952,False,False,False,False,5180.697505118762,False,False,False,False
2025-01-16 20:00:00+00:00,3.4,3.495,3.37,3.465,22020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,92.22703379167113,40.26214041593151,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,31569.0,961.6737915487596,False,False,False,False,5441.771962403742,False,False,False,False
2025-01-17 15:00:00+00:00,3.425,3.475,3.36,3.465,1510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,93.43417225269238,41.083505874128406,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,31569.0,1436.2059808270733,False,False,False,False,5380.814257560273,False,False,False,False
2025-01-17 16:00:00+00:00,3.465,3.475,3.345,3.35,3588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,74.92021957661937,29.27514928945567,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,27981.0,1847.7531749227776,False,False,False,False,5353.018687675618,False,False,False,False
2025-01-17 17:00:00+00:00,3.345,3.35,3.32,3.33,1572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,61.241391913772986,18.072735738314762,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,26409.0,2228.5476993425796,False,False,False,False,5294.398242905453,False,False,False,False
2025-01-17 18:00:00+00:00,3.33,3.375,3.33,3.355,802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,54.97619624700404,13.745710916732548,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,27211.0,2615.872541213237,False,False,False,False,5224.748657744128,False,False,False,False
