date,Open,High,Low,Close,Volume,aVWAP_peak_395,aVWAP_peak_390,aVWAP_peak_368,aVWAP_peak_332,aVWAP_peak_315,aVWAP_peak_230,aVWAP_peak_158,aVWAP_valley_429,aVWAP_valley_406,aVWAP_valley_375,aVWAP_valley_348,aVWAP_valley_323,aVWAP_valley_291,aVWAP_valley_269,aVWAP_valley_219,aVWAP_valley_196,aVWAP_valley_176,aVWAP_valley_135,aVWAP_valley_43,aVWAP_OB_bull_406,aVWAP_OB_bull_348,aVWAP_OB_bear_230,aVWAP_OB_bear_158,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-07 17:00:00+00:00,0.6478,0.6478,0.631,0.6437,1370.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1370.0,False,False,False,False
2023-12-08 17:00:00+00:00,0.6401,0.6401,0.6401,0.6401,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1348.7596899224807,False,False,False,False
2023-12-11 17:00:00+00:00,0.6224,0.6321,0.6221,0.6321,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-35.0,-0.5426356589147286,False,False,False,False,1328.3913226368609,False,False,False,False
2023-12-12 17:00:00+00:00,0.6321,0.6321,0.605,0.6146,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,1.0,0.6321,0.605,0.0,0,,,False,False,False,False,,,False,False,False,False,-79.0,-1.7590289045129497,False,False,False,False,1308.4782788750492,False,False,False,False
2023-12-13 17:00:00+00:00,0.6146,0.6446,0.6146,0.6446,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,18.380684396841218,-33.457384042842904,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,621.0,7.896149838192677,False,False,False,False,1299.0445071095446,False,False,False,False
2023-12-14 17:00:00+00:00,0.6463,0.6496,0.626,0.6376,2212.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,28.310324458910934,-25.623549050790633,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1591.0,-16.89293775619791,False,False,False,False,1313.1988558365283,False,False,False,False
2023-12-15 17:00:00+00:00,0.6376,0.6376,0.6364,0.6364,1240.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,34.5478530942726,-21.193733583388237,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2831.0,-60.522504612690966,False,False,False,False,1312.0639898545664,False,False,False,False
2023-12-18 17:00:00+00:00,0.6364,0.6487,0.6364,0.6478,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,42.287785535362474,-15.155067346794844,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2751.0,-102.23533399854071,False,False,False,False,1292.9622225699995,False,False,False,False
2023-12-19 17:00:00+00:00,0.6538,0.6716,0.6538,0.6674,580.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,51.41421463475119,-7.732377412936458,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2171.0,-134.309204789261,False,False,False,False,1281.9085447006971,False,False,False,False
2023-12-20 17:00:00+00:00,0.6625,0.6699,0.6401,0.6469,1040.0,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,51.716418226866494,-7.732377412936458,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3211.0,-182.0098372731484,False,False,False,False,1278.1580246278181,False,False,False,False
