date,Close,High,Low,Open,Volume,aVWAP_peak_8,aVWAP_peak_7,aVWAP_OB_bull_8,Peaks_Valleys_avg,Peaks_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-03-21 00:00:00+00:00,9.98,10.0,9.95,9.96,366818,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,366818.0,False,False,False,False
2025-03-28 00:00:00+00:00,9.97,9.99,9.96,9.98,1373270,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1373270,-101723.7037037037,False,False,False,False,441370.0,False,False,False,False
2025-04-04 00:00:00+00:00,10.0,10.01,9.985,10.0,113456,,,,,,"rgba(239, 83, 80, 0.5)",,,,21.79176755447942,-104.47941888619856,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1259814,-187508.17009602193,False,False,False,False,417080.0740740741,False,False,False,False
2025-04-11 00:00:00+00:00,10.01,10.04,10.01,10.04,81613,,,,,,"rgba(239, 83, 80, 0.5)",,,,38.808718023486385,-87.20134560782984,False,False,False,True,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1178201,-260892.82416298328,False,False,False,False,392230.66117969825,False,False,False,False
2025-04-18 00:00:00+00:00,10.0,10.05,10.0,10.04,10453,,,,,,#000000,,,,46.6270306471512,-78.42301756061477,False,False,False,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1188654,-329615.87422498455,False,False,False,False,363950.8344256465,False,False,False,False
2025-04-25 00:00:00+00:00,10.04,10.045,9.99,9.99,469657,,,,,,"rgba(38, 166, 154, 0.5)",,,,56.50591512019629,-67.17671577028732,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-718997,-358458.9205786894,False,False,False,False,371780.9207644875,False,False,False,False
2025-05-02 00:00:00+00:00,10.07,10.07,10.02,10.02,440940,,,,,,"rgba(38, 166, 154, 0.5)",,,,64.97528344269324,-56.97229603671882,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-278057,-352503.2227580457,False,False,False,False,376903.81552267366,False,False,False,False
2025-05-09 00:00:00+00:00,10.1,10.1,10.04,10.07,5118,,10.08,,,10.08,"rgba(38, 166, 154, 0.5)",,10.08,,71.89512016389277,-47.97830822024241,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-272939,-346609.5766278201,False,False,False,False,349364.1254839571,False,False,False,False
2025-05-16 00:00:00+00:00,10.09,10.1,10.05,10.1,184127,10.08,10.08,10.08,,10.08,"rgba(38, 166, 154, 0.5)",,10.08,,74.98211704710714,-42.38033722825536,False,False,True,False,True,,,,1.0,10.1,10.05,0.0,0,,,False,False,False,False,,,False,False,False,False,-457066,-354791.53391464823,False,False,False,False,337124.3384110714,False,False,False,False
2025-05-23 00:00:00+00:00,10.09,10.09,10.09,10.09,5,10.080000271544327,10.080000264200791,10.080000271544327,,10.08000026787256,"rgba(38, 166, 154, 0.5)",,10.08000026787256,,77.1871148208317,-37.32092237019974,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3428276103659914,0.3428276103659914,False,False,False,False,-457066,-362367.42029134097,False,False,False,False,312152.5355658069,False,False,False,False
2025-05-30 00:00:00+00:00,10.08,10.085,10.08,10.08,139721,10.08071921005312,10.080708020869112,10.08071921005312,,10.080713615461116,"rgba(38, 166, 154, 0.5)",,10.080713615461116,,76.93929938462918,-34.388939051768745,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.2952459286262765,0.31903676949613397,False,False,False,False,-596787,-379731.83360309346,False,False,False,False,299379.82922759897,False,False,False,False
2025-06-06 00:00:00+00:00,10.095,10.095,10.08,10.08,5124,10.080863763525516,10.08085053153544,10.080863763525516,,10.080857147530477,"rgba(38, 166, 154, 0.5)",,10.080857147530477,,77.50859923213922,-30.45798564258441,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3229384566889005,0.3209876130925172,False,False,False,False,-591663,-395430.4385213828,False,False,False,False,277583.10113666573,False,False,False,False
2025-06-13 00:00:00+00:00,10.1,10.11,10.09,10.09,2520,10.081009234874927,10.080993890151458,10.081009234874927,,10.081001562513192,"rgba(38, 166, 154, 0.5)",,10.081001562513192,,78.14339244446674,-26.378413787231615,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.34282735664994296,0.3319074848712301,False,False,False,False,-589143,-409779.5171494285,False,False,False,False,257208.05660802382,False,False,False,False
2025-06-20 00:00:00+00:00,10.104,10.11,10.1,10.1,125801,10.087517307459615,10.087434106230464,10.087517307459615,,10.08747570684504,"rgba(38, 166, 154, 0.5)",,10.08747570684504,,78.77904162378346,-22.288214801472265,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3428274079507529,0.3373674464109915,False,False,False,False,-463342,-413747.108471693,False,False,False,False,247474.200562985,False,False,False,False
2025-06-27 00:00:00+00:00,10.12,10.1286,10.1122,10.12,3920,10.08779565194767,10.087710095296096,10.08779565194767,,10.087752873621884,"rgba(38, 166, 154, 0.5)",,10.087752873621884,,79.89958966205296,-17.786131156843368,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.34282753463238275,0.34009749052168714,False,False,False,False,-459422,-417130.43377008615,False,False,False,False,229433.14866943055,False,False,False,False
2025-07-04 00:00:00+00:00,10.14,10.17,10.1255,10.1255,634,10.087874407097225,10.087788103447046,10.087874407097225,,10.087831255272135,"rgba(38, 166, 154, 0.5)",,10.087831255272135,,81.3785683709748,-13.05395650965152,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.34282753358160595,0.34146251205164657,False,False,False,False,-458788,-420216.1794167464,False,False,False,False,212485.06358280606,False,False,False,False
2025-07-11 00:00:00+00:00,10.13,10.17,10.13,10.14,6039,10.088590207263374,10.088497260446772,10.088590207263374,,10.088543733855072,"rgba(38, 166, 154, 0.5)",,10.088543733855072,,80.76964668217613,-10.51119226180861,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3428273285948163,0.3421449203232314,False,False,False,False,-464827,-423520.68464513554,False,False,False,False,197192.76257667228,False,False,False,False
2025-07-18 00:00:00+00:00,10.14,10.14,10.13,10.13,369,10.088628092655078,10.088534808687067,10.088628092655078,,10.088581450671072,"rgba(38, 166, 154, 0.5)",,10.088581450671072,,80.74018109411813,-7.4842465954725625,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.20064935267975478,0.2713971365014931,False,False,False,False,-464458,-426553.0783751255,False,False,False,False,182613.2246080299,False,False,False,False
2025-07-25 00:00:00+00:00,10.18,10.18,10.14,10.14,604,10.088728623509875,10.08863437289461,10.088728623509875,,10.088681498202241,"rgba(38, 166, 154, 0.5)",,10.088681498202241,,81.9711280901457,-3.383295463994955,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.34282729872968437,0.3071122176155887,False,False,False,False,-463854,-429316.1096065977,False,False,False,False,169131.0598222499,False,False,False,False
