date,Close,High,Low,Open,Volume,aVWAP_peak_185,aVWAP_valley_191,aVWAP_valley_171,aVWAP_valley_159,aVWAP_valley_129,aVWAP_valley_120,aVWAP_valley_95,aVWAP_valley_85,aVWAP_valley_74,aVWAP_valley_63,aVWAP_OB_bull_171,aVWAP_OB_bull_95,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,51.6843700462,52.0144634203,50.6528282522,50.6564592793,80828,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,80828.0,False,False,False,False
2022-01-07 00:00:00+00:00,49.6708004643,52.8892108616,48.7630436856,51.8246597302,169667,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-169667,-12567.925925925925,False,False,False,False,87408.66666666667,False,False,False,False
2022-01-14 00:00:00+00:00,48.6392586703,51.0951533735,47.9130532474,49.5140061116,83179,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-252846,-30366.301783264746,False,False,False,False,87095.35802469136,False,False,False,False
2022-01-21 00:00:00+00:00,45.1815305769,48.5897446642,45.1237642364,48.5897446642,80331,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-333177,-52796.72387339328,False,False,False,False,86594.29446730681,False,False,False,False
2022-01-28 00:00:00+00:00,44.8679418715,46.567922748,42.7305872744,44.0922224424,161280,,,,,,,,,,,,,,,#000000,,44.722150631299996,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-494457,-85512.29988277156,False,False,False,False,92126.56895121002,False,False,False,False
2022-02-04 00:00:00+00:00,46.402876061,47.4096608519,44.7359045219,44.7359045219,82477,,,,,,,,,,,,,,,#000000,,45.216376918633706,,6.085658186298896,-44.24715124576433,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-411980,-109695.09248404774,False,False,False,False,91411.7860659352,False,False,False,False
2022-02-11 00:00:00+00:00,48.6145016673,52.3032951226,46.3781190579,47.2446141649,117745,,,,,,,,,,,,,,,#000000,,47.78975448175335,,15.996743450256897,-35.12768553122644,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-294235,-123364.71526300717,False,False,False,False,93362.39450549555,False,False,False,False
2022-02-18 00:00:00+00:00,44.3315401386,48.9858567131,44.3315401386,48.9858567131,86131,,,,,,,,,,,,,,,#000000,,47.052977086414685,,19.123838061870504,-32.760118420874555,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-380366,-142401.84746574739,False,False,False,False,92826.73565323662,False,False,False,False
2022-02-25 00:00:00+00:00,45.7509416472,45.8087079876,42.3757368972,44.2242597921,144199,,,,,,,,,,,,,,,#000000,,45.68321834748917,,23.60163837995159,-29.079274230799143,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-236167,-149347.41432013648,False,False,False,False,96632.08856781169,False,False,False,False
2022-03-04 00:00:00+00:00,44.9669698837,46.1635583648,44.2077551234,45.0494932272,69374,,,,,,,,,,,,,,,#000000,,45.630173058436924,,26.20538390921822,-27.186201311125643,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.23455047416523173,-0.23455047416523173,False,False,False,False,-305541,-160917.30955568192,False,False,False,False,94612.97089612194,False,False,False,False
2022-03-11 00:00:00+00:00,44.6038671722,45.4703622792,43.4815497004,44.6121195066,86368,,,,,,,,,,,,,,,#000000,,45.45377961785798,,27.795746812935832,-26.17392657635696,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.30117737995116506,-0.2678639270581984,False,False,False,False,-391909,-178027.80514414993,False,False,False,False,94002.23231122403,False,False,False,False
2022-03-18 00:00:00+00:00,46.6406647438,47.3770527449,43.167960995,44.5295961631,128072,,,,,,,,,,,,,,,#000000,,45.541572577411124,,31.81041887003274,-22.759379505026356,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.18825245605724716,-0.22805819155772278,False,False,False,False,-263837,-184384.04180013883,False,False,False,False,96525.91880668892,False,False,False,False
2022-03-25 00:00:00+00:00,47.4349709023,47.5673552621,46.2766077545,46.6158426764,100124,,,,,,,,,,,,,,,#000000,,45.77448770729877,,35.64365493949723,-19.523841125727735,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.025849599214243194,-0.1011042961717398,False,False,False,False,-163713,-182852.85351864705,False,False,False,False,96792.44333952678,False,False,False,False
2022-04-01 00:00:00+00:00,47.6914655993,48.8415547247,46.9716256432,47.1950242503,605387,,,,,,,,,,,,,,,#000000,,46.72670804958896,,38.6901473267003,-17.020823958963945,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.15079155902735839,0.024843631427809293,False,False,False,False,441674,-136591.60510985838,False,False,False,False,134466.11420326555,False,False,False,False
2022-04-08 00:00:00+00:00,46.814419216,49.4372843435,46.5082803841,47.8321239816,144184,,,,,,,,,,,,,,,#000000,,47.004523000789675,,39.97515363658188,-16.132955720964326,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.1593170380167389,0.0920803347222741,False,False,False,False,297490,-104437.41213875776,False,False,False,False,135185.95759561626,False,False,False,False
