date,Open,High,Low,Close,Volume,aVWAP_peak_414,aVWAP_peak_386,aVWAP_peak_326,aVWAP_peak_283,aVWAP_peak_240,aVWAP_valley_403,aVWAP_valley_336,aVWAP_OB_bear_240,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-22 17:00:00+00:00,7.08,7.115,6.89,6.925,148742.0,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,148742.0,False,False,False,False
2023-12-25 17:00:00+00:00,6.925,6.925,6.925,6.925,0.0,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,146435.92248062015,False,False,False,False
2023-12-26 17:00:00+00:00,6.885,7.005,6.88,6.985,11952.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,11952.0,185.30232558139534,False,False,False,False,144350.90042665706,False,False,False,False
2023-12-27 17:00:00+00:00,7.045,7.055,6.92,6.93,29634.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,83.07692307692307,-9.230769230769269,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-17682.0,-91.71011357490534,False,False,False,False,142572.34383089494,False,False,False,False
2023-12-28 17:00:00+00:00,6.875,6.945,6.83,6.83,44492.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,63.43492985002423,-9.230769230769269,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-62174.0,-1054.2262358450619,False,False,False,False,141051.71834514462,False,False,False,False
2023-12-29 17:00:00+00:00,6.985,7.07,6.98,7.0,61501.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,62.817170212603266,-9.230769230769269,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-673.0,-1048.315751568394,False,False,False,False,139818.37387467723,False,False,False,False
2024-01-01 17:00:00+00:00,7.0,7.0,7.0,7.0,0.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,62.40533045432262,-9.230769230769269,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-673.0,-1042.4969027068685,False,False,False,False,137650.64714793806,False,False,False,False
2024-01-02 17:00:00+00:00,6.825,6.88,6.745,6.77,52431.0,,,,,,,,,,,#000000,,,,52.72935661656249,-9.230769230769269,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-53104.0,-1849.651989486607,False,False,False,False,136329.41230843513,False,False,False,False
2024-01-03 17:00:00+00:00,6.745,6.765,6.63,6.65,33321.0,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,43.92149450908899,-9.230769230769269,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-86425.0,-3160.8976950759616,False,False,False,False,134732.38266024232,False,False,False,False
2024-01-04 17:00:00+00:00,6.8,6.8,6.715,6.76,40321.0,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,42.4543407674942,-9.230769230769269,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-46104.0,-3826.6822269352488,False,False,False,False,133268.64029341686,False,False,False,False
2024-01-05 17:00:00+00:00,6.815,6.825,6.705,6.735,50145.0,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,40.898757843475764,-9.230769230769269,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-96249.0,-5259.586378455632,False,False,False,False,131979.9016842166,False,False,False,False
2024-01-08 17:00:00+00:00,6.575,6.645,6.525,6.625,65134.0,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,6.598333333333334,,37.61582445791613,14.20484179353781,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-161383.0,-7680.104419099731,False,False,False,False,130943.53111546904,False,False,False,False
2024-01-09 17:00:00+00:00,6.755,7.19,6.755,7.04,118877.0,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,6.854592705508547,,45.327848849422075,14.20484179353781,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-42506.0,-8220.040784695084,False,False,False,False,130756.45311367883,False,False,False,False
2024-01-10 17:00:00+00:00,7.15,7.175,7.02,7.05,33167.0,,,,,,,,,,,#000000,,6.889270997369286,,50.620209924564065,14.20484179353781,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9339.0,-8237.388989583531,False,False,False,False,129243.43833672257,False,False,False,False
2024-01-11 17:00:00+00:00,6.945,7.135,6.935,7.035,47558.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,6.915450209516902,,53.75864922092742,14.20484179353781,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-56897.0,-8991.801563388437,False,False,False,False,127976.99743227725,False,False,False,False
2024-01-12 17:00:00+00:00,7.565,7.83,7.55,7.815,187343.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,7.253692949683573,,62.88195390772293,14.20484179353781,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,130446.0,-6829.975182560709,False,False,False,False,128897.4005728621,False,False,False,False
2024-01-15 17:00:00+00:00,7.815,7.815,7.815,7.815,0.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,7.253692949683573,,68.96415703225327,-0.4155985310926411,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,130446.0,-4701.66548980783,False,False,False,False,126898.99126165493,False,False,False,False
2024-01-16 17:00:00+00:00,7.815,7.865,7.705,7.8,79857.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,7.562103077249895,,72.67597355937478,4.2470306792764205,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,50589.0,-3844.4458698108097,False,False,False,False,126169.65806379981,False,False,False,False
2024-01-17 17:00:00+00:00,7.675,7.74,7.58,7.675,56353.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,7.552089081249364,,72.31317987672885,5.19363546084827,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5764.0,-3874.2063989610297,False,False,False,False,125087.22925660912,False,False,False,False
2024-01-18 17:00:00+00:00,7.665,7.755,7.535,7.705,87280.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,7.557100559351276,,72.33547738549585,6.736500012473165,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,81516.0,-2550.3272299848895,False,False,False,False,124501.0706634834,False,False,False,False
2024-01-19 17:00:00+00:00,7.465,7.655,7.435,7.605,111215.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,7.544407207165117,,70.06576372644467,6.736500012473165,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-29699.0,-2971.236885333961,False,False,False,False,124295.08507180148,False,False,False,False
2024-01-22 17:00:00+00:00,7.5,7.505,7.315,7.33,63231.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,7.520667339630325,,63.60374656450307,6.736500012473165,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-92930.0,-4365.946390987698,False,False,False,False,123348.35507068828,False,False,False,False
2024-01-23 17:00:00+00:00,7.44,7.555,7.42,7.54,55032.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,7.516304689925505,,61.97438020614856,6.736500012473165,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-37898.0,-4885.823191127423,False,False,False,False,122289.1867750187,False,False,False,False
2024-01-24 17:00:00+00:00,7.545,7.555,7.405,7.43,42228.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,7.511086509587942,,59.173574547961266,6.736500012473165,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-80126.0,-6052.3375602572305,False,False,False,False,121047.92806532848,False,False,False,False
2024-01-25 17:00:00+00:00,7.365,7.425,7.245,7.315,89591.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,7.486497693453891,,55.63833346598908,16.770991469209093,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-169717.0,-8589.774187229987,False,False,False,False,120560.22375423812,False,False,False,False
2024-01-26 17:00:00+00:00,7.175,7.395,7.165,7.355,100106.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,7.410571719498113,,53.88604837770443,14.350905538859706,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-69611.0,-9535.83970370704,False,False,False,False,120243.1040061104,False,False,False,False
2024-01-29 17:00:00+00:00,7.425,7.495,7.33,7.405,58574.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,7.420702073256163,,53.49926939476134,13.1568176288433,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11037.0,-9559.113506750342,False,False,False,False,119286.99386648079,False,False,False,False
2024-01-30 17:00:00+00:00,7.785,7.85,7.705,7.735,209866.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,7.536671429447527,,57.3337193526106,13.1568176288433,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,198829.0,-6328.290041529406,False,False,False,False,120691.31954296946,False,False,False,False
2024-01-31 17:00:00+00:00,7.61,7.705,7.56,7.65,166943.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,7.5523477651763615,,58.37359548490228,13.1568176288433,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,31886.0,-5735.820428482438,False,False,False,False,121408.39986013272,False,False,False,False
2024-02-01 17:00:00+00:00,8.055,8.275,8.0,8.245,96073.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,7.751165541277529,,63.75065513914838,5.390912296877808,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,127959.0,-3663.0325148625548,False,False,False,False,121015.6029630764,False,False,False,False
2024-02-02 17:00:00+00:00,8.125,8.15,8.05,8.11,56434.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,7.763312407651072,,65.27026756990236,7.210864008249658,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,71525.0,-2497.3265843995696,False,False,False,False,120014.33780085815,False,False,False,False
2024-02-05 17:00:00+00:00,7.825,7.995,7.825,7.9,39357.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,7.7574854974139065,,63.3908441338036,7.210864008249658,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,32168.0,-1959.879660610429,False,False,False,False,118763.83643960454,False,False,False,False
2024-02-06 17:00:00+00:00,7.895,7.945,7.785,7.83,23580.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,7.753641563118832,,61.234054559143814,7.210864008249658,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,8588.0,-1796.346642616469,False,False,False,False,117288.11804519207,False,False,False,False
2024-02-07 17:00:00+00:00,7.795,8.075,7.79,7.935,216575.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,7.767423978657195,,60.81953375690525,7.210864008249658,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,225163.0,1722.4029177341738,False,False,False,False,118827.44954836738,False,False,False,False
2024-02-08 17:00:00+00:00,7.66,7.93,7.6,7.685,290443.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,7.744848735468645,,57.33791953328365,7.210864008249658,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-65280.0,683.6059732731787,False,False,False,False,121488.15575691982,False,False,False,False
2024-02-09 17:00:00+00:00,7.685,7.695,7.505,7.605,130583.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,7.727838061267605,,54.10076515804278,10.775893306252733,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-195863.0,-2363.6282278628396,False,False,False,False,121629.16109402184,False,False,False,False
2024-02-12 17:00:00+00:00,7.695,7.695,7.565,7.645,74145.0,,,,,,,,,,,#000000,,7.721644201292332,,52.46245182134492,8.978890992271026,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-121718.0,-4214.083604175044,False,False,False,False,120892.97254992847,False,False,False,False
2024-02-13 17:00:00+00:00,7.53,7.53,7.37,7.46,216265.0,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,7.685290953343245,,49.17102239250438,5.65438599401584,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-337983.0,-9388.795486280856,False,False,False,False,122371.60863442569,False,False,False,False
