date,Open,High,Low,Close,Volume,aVWAP_peak_871,aVWAP_peak_828,aVWAP_peak_795,aVWAP_peak_684,aVWAP_peak_648,aVWAP_valley_856,aVWAP_OB_bear_828,aVWAP_OB_bear_684,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-04-08 14:00:00+00:00,26.8,27.16,26.795,26.995,452162.0,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,452162.0,False,False,False,False
2025-04-08 15:00:00+00:00,26.995,27.185,26.915,27.075,220793.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,220793.0,3423.147286821705,False,False,False,False,448574.8837209302,False,False,False,False
2025-04-08 16:00:00+00:00,27.075,27.12,26.78,26.805,141458.0,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,73.61563517915299,-42.34527687296453,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,79335.0,4600.075235863229,False,False,False,False,443813.38164773746,False,False,False,False
2025-04-08 17:00:00+00:00,26.81,26.835,26.505,26.565,252015.0,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,52.95587799822315,-42.34527687296453,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-172680.0,1851.5469376327906,False,False,False,False,440839.7633276175,False,False,False,False
2025-04-08 18:00:00+00:00,26.565,26.595,26.4,26.56,159616.0,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,39.14295290843029,-42.34527687296453,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-332296.0,-3329.035185431284,False,False,False,False,436479.7049814529,False,False,False,False
2025-04-08 19:00:00+00:00,26.565,26.59,26.03,26.385,373753.0,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,28.83052617300013,-42.34527687296453,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-706049.0,-14223.918360850954,False,False,False,False,435507.1979274769,False,False,False,False
2025-04-09 14:00:00+00:00,25.93,26.04,25.2,25.22,295689.0,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,20.087756028960694,-42.34527687296453,False,False,False,True,False,,1.0,26.04,25.2,845.0,0,,,False,False,False,False,,,False,False,False,False,-1001738.0,-29534.214200217604,False,False,False,False,433339.4739286013,False,False,False,False
2025-04-09 15:00:00+00:00,25.215,25.725,25.215,25.44,294055.0,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,18.37249349878143,-42.34527687296453,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-707683.0,-40048.14886378012,False,False,False,False,431180.0247204059,False,False,False,False
2025-04-09 16:00:00+00:00,25.445,25.745,25.385,25.695,204126.0,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,21.248915576435362,-42.34527687296453,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-503557.0,-47234.33260232617,False,False,False,False,427659.80728288024,False,False,False,False
2025-04-09 17:00:00+00:00,25.695,26.85,25.65,26.335,167181.0,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,30.122824012015265,-42.34527687296453,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-336376.0,-51717.149151127305,False,False,False,False,423621.3761622154,False,False,False,False
2025-04-09 18:00:00+00:00,26.365,26.43,26.025,26.19,234277.0,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,34.95501157913019,-42.34527687296453,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-570653.0,-59762.66621855169,False,False,False,False,420685.8044387702,False,False,False,False
