date,Close,High,Low,Open,Volume,aVWAP_peak_153,aVWAP_peak_143,aVWAP_peak_133,aVWAP_peak_117,aVWAP_peak_106,aVWAP_peak_90,aVWAP_peak_82,aVWAP_peak_67,aVWAP_peak_59,aVWAP_peak_47,aVWAP_peak_33,aVWAP_peak_22,aVWAP_peak_12,aVWAP_peak_6,aVWAP_valley_171,aVWAP_valley_162,aVWAP_valley_136,aVWAP_valley_129,aVWAP_valley_121,aVWAP_valley_108,aVWAP_valley_95,aVWAP_OB_bull_171,aVWAP_OB_bull_136,aVWAP_OB_bull_95,aVWAP_OB_bear_6,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,55.3206466896,55.5328544988,53.2177369741,53.4314628254,8813675,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,8813675.0,False,False,False,False
2022-01-07 00:00:00+00:00,56.5010772205,56.5986004827,55.1435534099,55.1825627148,12303293,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,12303293,911355.037037037,False,False,False,False,9072165.222222222,False,False,False,False
2022-01-14 00:00:00+00:00,57.3670837893,57.9210159189,55.6818818175,56.3528418618,9783110,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,22086403,2479877.1083676266,False,False,False,False,9124827.79835391,False,False,False,False
2022-01-21 00:00:00+00:00,55.7520985664,57.874204753,55.4478259881,57.6869600895,8134410,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,86.6313647911904,37.36246202917218,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,13951993,3329663.4707107656,False,False,False,False,9051463.51699436,False,False,False,False
2022-01-28 00:00:00+00:00,55.1747608538,56.5634921083,53.6299923797,54.4179803387,10517150,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,74.77182195080064,26.699810866352564,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3434843,3337454.5469544125,False,False,False,False,9160032.88610589,False,False,False,False
2022-02-04 00:00:00+00:00,57.094018655,57.491913565,54.9485068854,55.0343273562,7099256,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,71.8073112256431,24.783667185311216,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10534099,3870539.3212540857,False,False,False,False,9007382.746394342,False,False,False,False
2022-02-11 00:00:00+00:00,57.0160000452,58.4047312997,56.7351330499,57.2500558746,6536649,,,,,,,,,,,,,,57.38528813159999,,,,,,,,,,,57.38528813159999,57.38528813159999,,#000000,,57.38528813159999,,69.41260778647252,23.27607454675193,False,False,True,False,False,,-1.0,58.40473,56.735134,191.0,0,,,False,False,False,False,,,False,False,False,False,3997450,3879940.1122723017,False,False,False,False,8824365.431846613,False,False,False,False
2022-02-18 00:00:00+00:00,56.1655971983,57.507517287,56.1148851019,56.8755665475,6499346,,,,,,,,,,,,,,56.99177328633718,,,,,,,,,,,56.99177328633718,56.99177328633718,,#000000,,56.99177328633718,,64.99069501095535,19.71481266473451,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2501896,3407211.5113632423,False,False,False,False,8652141.770228345,False,False,False,False
2022-02-25 00:00:00+00:00,56.3372381399,56.4776716375,53.2242956087,55.7833060103,10342672,,,,,,,,,,,,,,56.26386447745346,,,,,,,,,,,56.26386447745346,56.26386447745346,,#000000,,55.80513313641006,,62.24468335796804,17.704095026015395,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7840776,3735623.6957067056,False,False,False,False,8777366.231692912,False,False,False,False
2022-03-04 00:00:00+00:00,57.1564335428,58.0770531385,55.3229962124,55.494637154,11770107,,,,,,,,,,,,,,56.460864594756174,,,,,,,,,,,56.460864594756174,56.460864594756174,,#000000,,56.30437311422118,,62.04425684506177,17.704095026015395,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.15142723373126377,0.15142723373126377,False,False,False,False,19610883,4911568.829358061,False,False,False,False,8999050.733048992,False,False,False,False
