date,Open,High,Low,Close,Volume,aVWAP_peak_870,aVWAP_peak_834,aVWAP_peak_819,aVWAP_peak_727,aVWAP_peak_666,aVWAP_peak_621,aVWAP_peak_595,aVWAP_peak_583,aVWAP_peak_491,aVWAP_peak_462,aVWAP_peak_377,aVWAP_peak_349,aVWAP_peak_312,aVWAP_peak_264,aVWAP_peak_198,aVWAP_peak_174,aVWAP_valley_887,aVWAP_valley_863,aVWAP_valley_805,aVWAP_valley_764,aVWAP_valley_720,aVWAP_valley_702,aVWAP_valley_654,aVWAP_valley_626,aVWAP_valley_611,aVWAP_valley_593,aVWAP_valley_500,aVWAP_OB_bull_863,aVWAP_OB_bear_727,aVWAP_OB_bear_462,aVWAP_OB_bear_349,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-06 15:00:00+00:00,9.66,9.86,9.65,9.795,39880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,39880.0,False,False,False,False
2025-01-06 16:00:00+00:00,9.795,9.83,9.72,9.775,20030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-20030.0,-310.5426356589147,False,False,False,False,39572.248062015504,False,False,False,False
2025-01-06 17:00:00+00:00,9.775,9.805,9.695,9.735,10161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-30191.0,-773.8055405324199,False,False,False,False,39116.25971996875,False,False,False,False
2025-01-06 18:00:00+00:00,9.735,9.795,9.715,9.785,10495.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,16.443361753958627,-35.20097442143724,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-19696.0,-1067.1728964931574,False,False,False,False,38672.51925919404,False,False,False,False
2025-01-06 19:00:00+00:00,9.785,9.805,9.78,9.79,10818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,28.29365119454903,-25.52231563014339,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8878.0,-1188.2709911211705,False,False,False,False,38240.66624742359,False,False,False,False
2025-01-06 20:00:00+00:00,9.795,9.8,9.76,9.77,49002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,32.87777343155693,-22.63381055939838,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-57880.0,-2067.2125261425476,False,False,False,False,38407.508631184464,False,False,False,False
2025-01-07 15:00:00+00:00,9.615,9.755,9.58,9.645,48932.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,27.89441571495536,-22.63381055939838,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-106812.0,-3691.1627195356864,False,False,False,False,38570.679040003306,False,False,False,False
2025-01-07 16:00:00+00:00,9.645,9.65,9.45,9.455,147613.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,21.613059554939532,-20.28677636025347,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-254425.0,-7578.509033961489,False,False,False,False,40261.25765953814,False,False,False,False
2025-01-07 17:00:00+00:00,9.455,9.48,9.38,9.395,27993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,16.974177479983478,-24.001448666036445,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-282418.0,-11839.586413279914,False,False,False,False,40071.05211442902,False,False,False,False
2025-01-07 18:00:00+00:00,9.395,9.405,9.365,9.395,9257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,13.881589430012774,-26.554258612898515,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-282418.0,-16034.600577415109,False,False,False,False,39593.31487234485,False,False,False,False
