date,Open,High,Low,Close,Volume,aVWAP_peak_869,aVWAP_peak_840,aVWAP_peak_822,aVWAP_peak_790,aVWAP_peak_757,aVWAP_peak_754,aVWAP_peak_751,aVWAP_peak_685,aVWAP_peak_640,aVWAP_peak_617,aVWAP_peak_594,aVWAP_peak_558,aVWAP_peak_522,aVWAP_peak_489,aVWAP_peak_455,aVWAP_peak_430,aVWAP_peak_409,aVWAP_peak_408,aVWAP_peak_393,aVWAP_peak_367,aVWAP_peak_337,aVWAP_peak_295,aVWAP_peak_252,aVWAP_peak_227,aVWAP_valley_881,aVWAP_valley_858,aVWAP_valley_833,aVWAP_valley_780,aVWAP_valley_722,aVWAP_OB_bull_780,aVWAP_OB_bear_617,aVWAP_OB_bear_489,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-08 15:00:00+00:00,81.36,81.44,81.345,81.405,6383.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,6383.0,False,False,False,False
2025-01-08 16:00:00+00:00,81.415,81.495,81.39,81.42,7995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7995.0,123.95348837209302,False,False,False,False,6407.992248062015,False,False,False,False
2025-01-08 17:00:00+00:00,81.425,81.465,81.4,81.445,3436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,11431.0,299.25653506399857,False,False,False,False,6361.9148488672545,False,False,False,False
2025-01-08 18:00:00+00:00,81.445,81.465,81.38,81.41,4982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,83.10991957104466,34.798927613940194,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6449.0,394.60139498548693,False,False,False,False,6340.520820202645,False,False,False,False
2025-01-08 19:00:00+00:00,81.41,81.425,81.36,81.385,6549.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,67.09193494940325,21.39614628020024,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-100.0,386.9331563035414,False,False,False,False,6343.753055548341,False,False,False,False
2025-01-08 20:00:00+00:00,81.385,81.59,81.385,81.55,17298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,71.18553946751292,21.39614628020024,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,17198.0,647.5698515546492,False,False,False,False,6513.5863415088315,False,False,False,False
2025-01-09 15:00:00+00:00,81.55,81.55,81.55,81.55,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,73.9146091462527,16.452183936275972,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,17198.0,904.1656678096158,False,False,False,False,6412.600506756757,False,False,False,False
2025-01-09 16:00:00+00:00,81.55,81.55,81.55,81.55,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,75.73398893207923,17.589856015058942,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,17198.0,1156.783254355203,False,False,False,False,6313.180343861303,False,False,False,False
2025-01-09 17:00:00+00:00,81.55,81.55,81.55,81.55,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,76.94690878929691,18.57095627072779,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,17198.0,1405.4842891714015,False,False,False,False,6215.301578840198,False,False,False,False
2025-01-09 18:00:00+00:00,81.55,81.55,81.55,81.55,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,77.75552202744203,19.4853817408099,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,17198.0,1650.3294939904495,False,False,False,False,6118.940314051978,False,False,False,False
