date,Open,High,Low,Close,Volume,aVWAP_peak_834,aVWAP_peak_794,aVWAP_peak_793,aVWAP_peak_769,aVWAP_peak_730,aVWAP_peak_690,aVWAP_peak_642,aVWAP_peak_606,aVWAP_peak_558,aVWAP_peak_528,aVWAP_peak_508,aVWAP_peak_489,aVWAP_peak_443,aVWAP_peak_330,aVWAP_peak_300,aVWAP_peak_286,aVWAP_peak_257,aVWAP_valley_874,aVWAP_valley_828,aVWAP_valley_782,aVWAP_valley_763,aVWAP_valley_750,aVWAP_valley_736,aVWAP_valley_704,aVWAP_valley_660,aVWAP_valley_626,aVWAP_valley_572,aVWAP_valley_545,aVWAP_valley_510,aVWAP_valley_497,aVWAP_valley_453,aVWAP_valley_402,aVWAP_OB_bull_750,aVWAP_OB_bull_572,aVWAP_OB_bear_257,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-06 15:00:00+00:00,24.175,24.23,23.88,23.89,10528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,10528.0,False,False,False,False
2025-01-06 16:00:00+00:00,23.89,23.915,23.7,23.745,6704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6704.0,-103.93798449612403,False,False,False,False,10468.713178294573,False,False,False,False
2025-01-06 17:00:00+00:00,23.745,23.965,23.66,23.755,9715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,2.399999999999565,-53.59999999999935,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3011.0,-55.64437233339342,False,False,False,False,10457.027702662099,False,False,False,False
2025-01-06 18:00:00+00:00,23.78,23.84,23.72,23.76,2805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,5.2040365209033155,-50.836367131186016,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5816.0,35.38887374929485,False,False,False,False,10338.391614248732,False,False,False,False
2025-01-06 19:00:00+00:00,23.76,23.89,23.735,23.765,3498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,8.320597825621434,-47.815704148194,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9314.0,179.24330981519725,False,False,False,False,10232.339031082085,False,False,False,False
2025-01-06 20:00:00+00:00,23.765,23.79,23.63,23.64,7806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,7.772506658998027,-47.815704148194,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1508.0,199.84418873279108,False,False,False,False,10194.721371685464,False,False,False,False
2025-01-07 15:00:00+00:00,23.575,23.765,23.47,23.6,4562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,7.044191473863005,-47.815704148194,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3054.0,149.3969920082517,False,False,False,False,10107.39235817096,False,False,False,False
2025-01-07 16:00:00+00:00,23.6,23.63,23.335,23.46,2063.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,5.830344223179289,-47.815704148194,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5117.0,67.74742624068189,False,False,False,False,9982.673096803968,False,False,False,False
2025-01-07 17:00:00+00:00,23.46,23.585,23.45,23.55,2009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,12.119566139524267,-43.605525766197516,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3108.0,18.511032035399992,False,False,False,False,9859.05025809383,False,False,False,False
2025-01-07 18:00:00+00:00,23.55,23.66,23.515,23.655,1824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,21.945312001818813,-34.685187493809764,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1284.0,-1.682937453520939,False,False,False,False,9734.475835487725,False,False,False,False
