date,Open,High,Low,Close,Volume,aVWAP_peak_853,aVWAP_peak_830,aVWAP_peak_798,aVWAP_peak_775,aVWAP_peak_744,aVWAP_peak_725,aVWAP_peak_696,aVWAP_peak_654,aVWAP_valley_840,aVWAP_valley_810,aVWAP_valley_762,aVWAP_valley_684,aVWAP_valley_648,aVWAP_valley_624,aVWAP_valley_606,aVWAP_valley_558,aVWAP_valley_493,aVWAP_valley_469,aVWAP_valley_419,aVWAP_valley_418,aVWAP_valley_400,aVWAP_valley_365,aVWAP_valley_338,aVWAP_valley_306,aVWAP_valley_238,aVWAP_valley_204,aVWAP_valley_166,aVWAP_valley_149,aVWAP_valley_113,aVWAP_OB_bull_810,aVWAP_OB_bull_493,aVWAP_OB_bull_306,aVWAP_OB_bull_166,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-03-13 14:00:00+00:00,98.18,99.81,97.92,98.73,131689.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,131689.0,False,False,False,False
2025-03-13 15:00:00+00:00,98.725,99.105,97.92,98.045,87731.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-87731.0,-1360.1705426356589,False,False,False,False,131007.48062015504,False,False,False,False
2025-03-13 16:00:00+00:00,98.07,98.995,97.955,98.31,65779.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,10.108073744437371,-65.16211061665605,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-21952.0,-1679.4237125172765,False,False,False,False,129996.18634697433,False,False,False,False
2025-03-13 17:00:00+00:00,98.31,98.395,97.27,97.515,60964.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,11.734199472557792,-62.68779008690394,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-82916.0,-2938.905515423985,False,False,False,False,128925.91989198247,False,False,False,False
2025-03-13 18:00:00+00:00,97.51,98.935,97.49,98.66,56272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,25.58184131897307,-48.70518816970744,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-26644.0,-3306.4263601460934,False,False,False,False,127799.50252931607,False,False,False,False
2025-03-13 19:00:00+00:00,98.66,98.94,97.745,98.115,100797.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,31.362707287673985,-42.44455317302941,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-127441.0,-5230.993393322123,False,False,False,False,127380.85907924916,False,False,False,False
2025-03-14 14:00:00+00:00,99.87,100.675,99.65,100.54,89999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,44.59757959283844,-29.27382550204791,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-37442.0,-5730.388844588446,False,False,False,False,126801.29537259412,False,False,False,False
2025-03-14 15:00:00+00:00,100.53,100.815,100.24,100.44,71860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,52.89106019437519,-20.895889322746477,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-109302.0,-7336.150257850641,False,False,False,False,125949.49234356165,False,False,False,False
2025-03-14 16:00:00+00:00,100.435,101.22,99.92,101.09,83560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,59.84998025863373,-13.62733171445953,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-25742.0,-7621.512269356832,False,False,False,False,125292.29091187852,False,False,False,False
2025-03-14 17:00:00+00:00,101.025,101.15,100.165,100.34,52535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,60.69531942426423,-11.72926595829017,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-78277.0,-8716.946187661377,False,False,False,False,124164.27089774086,False,False,False,False
2025-03-14 18:00:00+00:00,100.34,100.615,100.07,100.56,32817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,61.86634052424357,-9.104618535061718,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-45460.0,-9286.605936689883,False,False,False,False,122748.03413963634,False,False,False,False
