date,Close,High,Low,Open,Volume,aVWAP_peak_877,aVWAP_peak_864,aVWAP_peak_853,aVWAP_peak_843,aVWAP_peak_814,aVWAP_peak_797,aVWAP_peak_788,aVWAP_peak_781,aVWAP_peak_761,aVWAP_peak_756,aVWAP_peak_750,aVWAP_peak_737,aVWAP_peak_728,aVWAP_peak_718,aVWAP_peak_709,aVWAP_peak_703,aVWAP_peak_698,aVWAP_peak_688,aVWAP_peak_677,aVWAP_peak_663,aVWAP_peak_659,aVWAP_peak_651,aVWAP_peak_644,aVWAP_peak_633,aVWAP_peak_625,aVWAP_peak_613,aVWAP_peak_606,aVWAP_peak_601,aVWAP_peak_591,aVWAP_peak_582,aVWAP_peak_574,aVWAP_peak_569,aVWAP_peak_557,aVWAP_peak_543,aVWAP_valley_885,aVWAP_valley_869,aVWAP_valley_824,aVWAP_valley_816,aVWAP_valley_806,aVWAP_valley_793,aVWAP_valley_785,aVWAP_valley_777,aVWAP_valley_754,aVWAP_valley_745,aVWAP_valley_740,aVWAP_valley_732,aVWAP_valley_725,aVWAP_valley_715,aVWAP_valley_705,aVWAP_valley_693,aVWAP_valley_685,aVWAP_valley_675,aVWAP_valley_655,aVWAP_valley_649,aVWAP_valley_639,aVWAP_valley_611,aVWAP_valley_605,aVWAP_valley_597,aVWAP_valley_584,aVWAP_valley_577,aVWAP_valley_566,aVWAP_valley_554,aVWAP_valley_544,aVWAP_valley_519,aVWAP_valley_514,aVWAP_valley_501,aVWAP_valley_496,aVWAP_valley_467,aVWAP_valley_459,aVWAP_valley_441,aVWAP_valley_431,aVWAP_valley_421,aVWAP_valley_408,aVWAP_valley_389,aVWAP_valley_378,aVWAP_valley_363,aVWAP_valley_349,aVWAP_valley_338,aVWAP_valley_334,aVWAP_valley_330,aVWAP_valley_298,aVWAP_valley_284,aVWAP_valley_258,aVWAP_valley_243,aVWAP_valley_237,aVWAP_valley_229,aVWAP_valley_218,aVWAP_valley_210,aVWAP_valley_193,aVWAP_valley_187,aVWAP_valley_164,aVWAP_valley_159,aVWAP_valley_132,aVWAP_valley_111,aVWAP_valley_96,aVWAP_OB_bull_869,aVWAP_OB_bull_824,aVWAP_OB_bull_258,aVWAP_OB_bull_201,aVWAP_OB_bull_193,aVWAP_OB_bull_164,aVWAP_OB_bull_140,aVWAP_OB_bull_132,aVWAP_OB_bull_111,aVWAP_OB_bull_96,aVWAP_OB_bear_877,aVWAP_OB_bear_814,aVWAP_OB_bear_761,aVWAP_OB_bear_663,aVWAP_OB_bear_651,aVWAP_OB_bear_633,aVWAP_OB_bear_91,aVWAP_OB_bear_81,aVWAP_OB_bear_22,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,33.17,33.63,32.69,33.26,556812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,556812.0,False,False,False,False
2022-01-04 00:00:00+00:00,32.51,33.53,32.49,33.12,260683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-260683,-10222.862745098038,False,False,False,False,545199.0980392158,False,False,False,False
2022-01-05 00:00:00+00:00,31.57,32.49,31.49,32.33,287993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-548676,-31338.67204921184,False,False,False,False,535112.5843906191,False,False,False,False
2022-01-06 00:00:00+00:00,31.47,31.7,31.19,31.34,231972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-780648,-60723.35157669373,False,False,False,False,523224.71833608503,False,False,False,False
2022-01-07 00:00:00+00:00,31.07,31.89,31.06,31.39,394473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1175121,-104425.22014231358,False,False,False,False,518175.6313425131,False,False,False,False
2022-01-10 00:00:00+00:00,30.35,30.93,29.84,30.85,879128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2054249,-180888.89778379147,False,False,False,False,532330.6261918263,False,False,False,False
2022-01-11 00:00:00+00:00,30.42,30.73,29.97,30.39,323444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,1.069308203385475,-49.019800813563315,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1730805,-241669.92140011338,False,False,False,False,524138.99379214685,False,False,False,False
2022-01-12 00:00:00+00:00,30.54,30.61,30.04,30.38,349093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,3.6225754684019806,-46.73871183193071,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1381712,-286377.4538942266,False,False,False,False,517274.44501598424,False,False,False,False
2022-01-13 00:00:00+00:00,30.16,31.17,30.11,30.7,321789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,4.84244229986107,-45.79947750821168,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1703501,-341950.9262905314,False,False,False,False,509608.3491330045,False,False,False,False
2022-01-14 00:00:00+00:00,29.7,30.03,29.27,29.78,295694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,5.216783583184121,-45.63338391198302,False,False,False,True,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1999195,-406940.88996541256,False,False,False,False,501219.5511277886,False,False,False,False
