date,Open,High,Low,Close,Volume,aVWAP_peak_838,aVWAP_peak_792,aVWAP_peak_733,aVWAP_peak_695,aVWAP_peak_677,aVWAP_peak_655,aVWAP_peak_611,aVWAP_peak_568,aVWAP_peak_545,aVWAP_peak_522,aVWAP_peak_474,aVWAP_peak_461,aVWAP_peak_433,aVWAP_peak_384,aVWAP_peak_365,aVWAP_valley_821,aVWAP_valley_762,aVWAP_valley_704,aVWAP_valley_672,aVWAP_valley_628,aVWAP_valley_588,aVWAP_valley_558,aVWAP_valley_538,aVWAP_valley_509,aVWAP_valley_464,aVWAP_valley_408,aVWAP_valley_330,aVWAP_valley_283,aVWAP_valley_198,aVWAP_valley_156,aVWAP_valley_120,aVWAP_valley_65,aVWAP_OB_bear_838,aVWAP_OB_bear_545,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-03-25 14:00:00+00:00,76.54,76.76,74.115,74.115,33138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,33138.0,False,False,False,False
2025-03-25 15:00:00+00:00,74.39,75.73,73.81,75.6,26901.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,26901.0,417.06976744186045,False,False,False,False,33041.3023255814,False,False,False,False
2025-03-25 16:00:00+00:00,75.56,75.59,74.75,74.845,13115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,87.87148594377516,7.550200803213045,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,13786.0,624.3400036055525,False,False,False,False,32732.36740580494,False,False,False,False
2025-03-25 17:00:00+00:00,74.845,75.2,74.79,74.93,29336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,80.32012106396614,7.550200803213045,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,43122.0,1283.2184531620555,False,False,False,False,32679.71054680021,False,False,False,False
2025-03-25 18:00:00+00:00,74.93,74.97,74.48,74.96,28154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,75.4851980303814,7.550200803213045,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,71276.0,2368.377856989,False,False,False,False,32609.544491811055,False,False,False,False
2025-03-25 19:00:00+00:00,74.89,75.08,74.705,75.01,41534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,72.61774678430089,7.550200803213045,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,112810.0,4080.6510685085505,False,False,False,False,32747.90814310081,False,False,False,False
2025-03-26 14:00:00+00:00,75.425,75.99,75.41,75.54,13536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,73.701464776808,7.550200803213045,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,126346.0,5976.237873647952,False,False,False,False,32450.0491021225,False,False,False,False
2025-03-26 15:00:00+00:00,75.47,75.78,75.15,75.27,10887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,71.02044465104257,7.550200803213045,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,115459.0,7673.645038397596,False,False,False,False,32115.738263329902,False,False,False,False
2025-03-26 16:00:00+00:00,75.27,75.54,75.2,75.445,7809.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,70.25604837387704,7.550200803213045,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,123268.0,9465.805580437944,False,False,False,False,31738.889608084475,False,False,False,False
2025-03-26 17:00:00+00:00,75.39,75.81,75.37,75.68,12879.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,70.98634935282796,7.550200803213045,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,136147.0,11429.855106322626,False,False,False,False,31446.48821881185,False,False,False,False
