date,Close,High,Low,Open,Volume,aVWAP_peak_181,aVWAP_peak_176,aVWAP_peak_169,aVWAP_peak_158,aVWAP_peak_145,aVWAP_peak_139,aVWAP_peak_132,aVWAP_peak_119,aVWAP_valley_171,aVWAP_valley_166,aVWAP_valley_155,aVWAP_valley_141,aVWAP_valley_136,aVWAP_valley_129,aVWAP_valley_122,aVWAP_valley_111,aVWAP_valley_102,aVWAP_valley_97,aVWAP_valley_92,aVWAP_valley_77,aVWAP_valley_70,aVWAP_valley_63,aVWAP_valley_53,aVWAP_valley_39,aVWAP_valley_28,aVWAP_OB_bull_171,aVWAP_OB_bull_77,aVWAP_OB_bull_63,aVWAP_OB_bull_39,aVWAP_OB_bear_145,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,17.2447911562,17.448871525,16.4529593256,16.5427546879,16361588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,16361588.0,False,False,False,False
2022-01-07 00:00:00+00:00,19.3019212729,19.3223293097,17.2733624079,17.2733624079,37496414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,37496414,2777512.148148148,False,False,False,False,17927130.666666668,False,False,False,False
2022-01-14 00:00:00+00:00,21.1998687019,21.2937456715,18.7876387437,19.183554659,38117219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,75613633,8172780.359396433,False,False,False,False,19422692.765432097,False,False,False,False
2022-01-21 00:00:00+00:00,20.7304838539,22.0937407169,20.5386483073,21.6774167647,44576400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,96.67451288870976,46.85637546510844,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,31037233,9866443.51795966,False,False,False,False,21285930.338363055,False,False,False,False
2022-01-28 00:00:00+00:00,20.775381535,21.277419242,19.4978384268,19.8978359495,47191817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,94.33836502502658,44.78438262001944,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,78229050,14930340.294407092,False,False,False,False,23204884.90589172,False,False,False,False
2022-02-04 00:00:00+00:00,21.8651707039,22.1998625086,20.5019138409,20.677422958,31686564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,93.44075127485189,44.13113178299686,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,109915614,21966286.49482138,False,False,False,False,23833157.43138122,False,False,False,False
2022-02-11 00:00:00+00:00,21.6488455131,22.0468022321,20.4590569635,21.7876201638,37478990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,91.56115842808165,42.53063232997667,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,72436624,25704830.0137235,False,False,False,False,24843959.8438715,False,False,False,False
2022-02-18 00:00:00+00:00,21.1712974503,22.3386371593,20.8937481488,21.5794581877,29059767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,87.71056852698429,39.089154413968345,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,43376857,27013869.04974398,False,False,False,False,25156241.855436575,False,False,False,False
2022-02-25 00:00:00+00:00,22.3508819814,22.405983681,20.8529320751,21.7019064089,35502267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,86.28145613869404,38.02988256851238,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,78879124,30855739.786799982,False,False,False,False,25922614.088367198,False,False,False,False
2022-03-04 00:00:00+00:00,24.0733202934,24.7563772875,22.2325153676,22.3508819814,50841515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,86.48684520643042,38.02988256851238,False,False,True,False,False,,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.34282824309646504,0.34282824309646504,False,False,False,False,129720639,38179065.65444443,False,False,False,False,27768458.600339998,False,False,False,False
