date,Open,High,Low,Close,Volume,aVWAP_peak_840,aVWAP_peak_818,aVWAP_peak_769,aVWAP_peak_673,aVWAP_valley_828,aVWAP_valley_807,aVWAP_valley_806,aVWAP_valley_805,aVWAP_valley_804,aVWAP_valley_803,aVWAP_valley_751,aVWAP_valley_694,aVWAP_valley_632,aVWAP_valley_614,aVWAP_valley_587,aVWAP_valley_565,aVWAP_valley_545,aVWAP_valley_516,aVWAP_valley_499,aVWAP_valley_457,aVWAP_valley_435,aVWAP_valley_410,aVWAP_valley_389,aVWAP_valley_355,aVWAP_valley_354,aVWAP_valley_341,aVWAP_valley_323,aVWAP_valley_288,aVWAP_valley_260,aVWAP_valley_240,aVWAP_valley_196,aVWAP_valley_161,aVWAP_valley_120,aVWAP_valley_96,aVWAP_valley_79,aVWAP_valley_58,aVWAP_OB_bull_632,aVWAP_OB_bull_499,aVWAP_OB_bear_673,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-04-08 14:00:00+00:00,165.69,166.15,164.34,164.34,1465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1465.0,False,False,False,False
2025-04-08 15:00:00+00:00,164.34,164.34,161.835,162.905,2385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2385.0,-36.97674418604651,False,False,False,False,1479.2635658914728,False,False,False,False
2025-04-08 16:00:00+00:00,162.7,163.15,160.5,160.5,1117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3502.0,-90.69803497385973,False,False,False,False,1473.6470764978064,False,False,False,False
2025-04-08 17:00:00+00:00,160.5,160.715,159.29,159.79,927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4429.0,-157.95853055566036,False,False,False,False,1465.1719280249722,False,False,False,False
2025-04-08 18:00:00+00:00,159.65,160.64,158.355,158.47,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5509.0,-240.9204138028594,False,False,False,False,1459.2002702261354,False,False,False,False
2025-04-08 19:00:00+00:00,158.24,159.16,157.13,159.16,5201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,4.591466492545313,-45.86768015670922,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-308.0,-241.9604073873112,False,False,False,False,1517.2126691373583,False,False,False,False
2025-04-09 14:00:00+00:00,158.54,159.805,157.15,157.25,825.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,6.274146494632043,-44.62875614438388,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1133.0,-255.7749747146397,False,False,False,False,1506.4806897708877,False,False,False,False
2025-04-09 15:00:00+00:00,157.25,158.49,157.055,157.86,2585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,10.328277568303857,-41.227925905965904,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1452.0,-229.29784332371506,False,False,False,False,1523.201919386843,False,False,False,False
2025-04-09 16:00:00+00:00,157.86,159.03,157.815,158.77,673.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,16.84934268110503,-35.71483170003651,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2125.0,-192.79710156675822,False,False,False,False,1510.0204942800701,False,False,False,False
2025-04-09 17:00:00+00:00,158.985,168.16,158.985,166.885,1063.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,34.86512306257725,-20.043163761863795,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3188.0,-140.3816426277387,False,False,False,False,1503.0899439811542,False,False,False,False
