date,Close,High,Low,Open,Volume,aVWAP_peak_186,aVWAP_peak_167,aVWAP_valley_189,aVWAP_valley_171,aVWAP_valley_155,aVWAP_valley_148,aVWAP_valley_129,aVWAP_valley_120,aVWAP_valley_111,aVWAP_valley_92,aVWAP_OB_bull_92,aVWAP_OB_bear_167,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,16.3715700296,16.4266137329,16.1210703875,16.1758507238,648618,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,648618.0,False,False,False,False
2022-01-07 00:00:00+00:00,16.6153350012,16.7057639423,16.300799554,16.3794334158,1547313,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1547313,114615.77777777777,False,False,False,False,715188.0,False,False,False,False
2022-01-14 00:00:00+00:00,16.7490125663,16.8268600895,16.5131109809,16.6153350012,1187098,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2734411,308674.683127572,False,False,False,False,750144.2962962963,False,False,False,False
2022-01-21 00:00:00+00:00,16.2300290783,16.7332857939,16.2221656921,16.7254224078,978306,,,,,,,,,,,,,,,#000000,,,,82.67938788793236,33.62660886281107,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1756105,415891.7436366407,False,False,False,False,767045.1632373114,False,False,False,False
2022-01-28 00:00:00+00:00,16.1828487612,16.340037851,15.8548669236,16.1120782856,1743181,,,,,,,,,,,,,,,#000000,,16.125917845266667,,69.68022915002179,22.048757349538988,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,12924,386042.2811450377,False,False,False,False,839351.5215160291,False,False,False,False
2022-02-04 00:00:00+00:00,16.0665227868,16.3558432572,15.9717350417,16.1592586027,854704,,,,,,,,,,,,,,,#000000,,16.12771062622627,,59.03128083259837,13.03335348397107,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-841780,295092.4825417015,False,False,False,False,840488.7421444714,False,False,False,False
2022-02-11 00:00:00+00:00,16.2403003194,16.3271890857,16.0349268717,16.0823207443,1075684,,,,,,,,,,,,,,,#000000,,16.149114036961045,,54.716694342676206,10.142871028490688,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,233904,290560.00235342735,False,False,False,False,857910.6130967328,False,False,False,False
2022-02-18 00:00:00+00:00,16.0823207443,16.2718962344,15.9875329992,16.2481992981,733838,,,,,,,,,,,,,,,#000000,,16.14325363577095,,49.84766223682922,6.545659756585856,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-499934,232004.8910679883,False,False,False,False,848720.0491636414,False,False,False,False
2022-02-25 00:00:00+00:00,16.1297146168,16.1376135956,15.4267055076,16.0428258505,884535,,,,,,,,,,,,,,,#000000,,16.00013660832581,,47.149104194097305,4.863760721556595,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,384601,243308.3065444336,False,False,False,False,851373.0084848532,False,False,False,False
2022-03-04 00:00:00+00:00,16.4479480544,16.4479480544,15.8927452542,15.9717350417,722325,,,,,,,,,,,,,,,#000000,,16.09179096158636,,49.29903340990428,4.863760721556595,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.041449762814045735,-0.041449762814045735,False,False,False,False,1106926,307279.9875411422,False,False,False,False,841813.8967452344,False,False,False,False
