date,Close,High,Low,Open,Volume,aVWAP_peak_118,aVWAP_peak_109,aVWAP_valley_115,aVWAP_valley_102,aVWAP_valley_98,aVWAP_valley_90,aVWAP_valley_84,aVWAP_valley_75,aVWAP_valley_63,aVWAP_valley_58,aVWAP_valley_50,aVWAP_valley_39,aVWAP_valley_28,aVWAP_OB_bull_102,aVWAP_OB_bull_84,aVWAP_OB_bull_69,aVWAP_OB_bull_50,aVWAP_OB_bear_20,Peaks_Valleys_avg,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_200,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-28 00:00:00+00:00,19.2895293884,20.7057226853,18.6546841174,20.5592199305,12165197,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,12165197.0,False,False,False,False
2025-01-29 00:00:00+00:00,20.0122763124,20.2076133188,19.2211614362,19.2895293884,3094343,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3094343,121346.78431372548,False,False,False,False,11809477.235294119,False,False,False,False
2025-01-30 00:00:00+00:00,21.2819668544,21.3112674054,20.0415768633,20.2662144208,3250156,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6344499,365391.969242599,False,False,False,False,11473817.579008074,False,False,False,False
2025-01-31 00:00:00+00:00,20.998728195,21.5163712621,20.5592199305,21.4870707112,1881255,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,95.36012270723874,45.74677914830218,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4463244,526092.0488801441,False,False,False,False,11097638.654341092,False,False,False,False
2025-02-03 00:00:00+00:00,21.3112674054,21.4968375615,20.363882924,21.1354640995,1817992,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,92.93749800248592,43.78381079632105,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6281236,751783.9685319032,False,False,False,False,10733730.942406148,False,False,False,False
2025-02-04 00:00:00+00:00,20.9791944944,21.3112674054,20.7106061105,21.2526663034,723301,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,87.0789018729389,38.70912812272121,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5557935,940260.4795698677,False,False,False,False,10341165.062311789,False,False,False,False
2025-02-05 00:00:00+00:00,20.6373547331,21.0475624466,20.1880796182,20.998728195,891969,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,79.6405134750203,32.38970570654297,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4665966,1086366.578410265,False,False,False,False,9970608.353985837,False,False,False,False
2025-02-06 00:00:00+00:00,20.2173801692,20.4908519782,19.6313691498,20.2076133188,1317638,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,71.2340342628415,25.38445968737868,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3348328,1175070.9478843724,False,False,False,False,9631276.183241295,False,False,False,False
2025-02-07 00:00:00+00:00,20.6275878827,20.7545569369,20.1197116659,20.2173801692,559487,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,67.85478495260175,23.144603497459627,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3907815,1282237.3813006717,False,False,False,False,9275519.744682813,False,False,False,False
2025-02-10 00:00:00+00:00,20.7643237873,20.998728195,20.6080541821,20.8326917395,442960,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,66.26283609962522,22.329622867318903,False,False,True,False,False,,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4350775,1402572.1898771161,False,False,False,False,8929144.852734467,False,False,False,False
