date,Open,High,Low,Close,Volume,aVWAP_peak_864,aVWAP_peak_786,aVWAP_peak_762,aVWAP_valley_845,aVWAP_valley_828,aVWAP_valley_804,aVWAP_valley_779,aVWAP_valley_756,aVWAP_valley_696,aVWAP_valley_658,aVWAP_valley_622,aVWAP_valley_565,aVWAP_valley_522,aVWAP_valley_503,aVWAP_valley_500,aVWAP_valley_498,aVWAP_valley_444,aVWAP_valley_396,aVWAP_OB_bull_696,aVWAP_OB_bull_444,aVWAP_OB_bull_396,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-04 15:00:00+00:00,5.24,5.305,5.225,5.27,830.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,830.0,False,False,False,False
2025-02-04 16:00:00+00:00,5.265,5.295,5.24,5.27,400.0,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,823.3333333333333,False,False,False,False
2025-02-04 17:00:00+00:00,5.275,5.295,5.25,5.275,104.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,104.0,1.6124031007751938,False,False,False,False,812.1808785529714,False,False,False,False
2025-02-04 18:00:00+00:00,5.275,5.335,5.265,5.32,817.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,921.0,15.866474370530618,False,False,False,False,812.2555936141656,False,False,False,False
2025-02-04 19:00:00+00:00,5.32,5.43,5.31,5.405,3336.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4257.0,81.62048251982472,False,False,False,False,851.3834138682095,False,False,False,False
2025-02-04 20:00:00+00:00,5.405,5.435,5.375,5.41,4965.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9222.0,223.33179286835457,False,False,False,False,915.160415203586,False,False,False,False
2025-02-05 15:00:00+00:00,5.43,5.45,5.365,5.395,997.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,95.87905358298096,46.29114822468286,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,8225.0,347.38866429675215,False,False,False,False,916.4292459756234,False,False,False,False
2025-02-05 16:00:00+00:00,5.395,5.4,5.35,5.365,424.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,86.77433100616945,38.344154690573646,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7801.0,462.94852996656994,False,False,False,False,908.7946840225129,False,False,False,False
2025-02-05 17:00:00+00:00,5.365,5.385,5.345,5.355,962.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,78.98004804278497,32.007453663480916,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6839.0,561.802041129879,False,False,False,False,909.6195726423189,False,False,False,False
2025-02-05 18:00:00+00:00,5.355,5.375,5.335,5.34,554.0,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,71.3972663187291,25.994706326229505,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6285.0,650.5337924301909,False,False,False,False,904.1060908959263,False,False,False,False
