date,Close,High,Low,Open,Volume
2022-01-03 00:00:00+00:00,257.1281225812,260.9259615828,254.9936409145,260.8490433246,675153
2022-01-04 00:00:00+00:00,254.5994348409,257.29157388,252.9168479415,256.7146869431,588677
2022-01-05 00:00:00+00:00,249.1286237222,255.0032556968,248.9651724234,253.3975870556,521834
2022-01-06 00:00:00+00:00,247.7633246381,251.2823349535,246.5807064173,248.849795036,627338
2022-01-07 00:00:00+00:00,242.8213265448,248.9940167702,242.6674900283,247.8498576786,586046
2022-01-10 00:00:00+00:00,246.1672707792,246.2345742551,240.2349501109,242.1290622205,573806
2022-01-11 00:00:00+00:00,246.1865003437,246.9076090149,242.0521439622,245.9076716575,492733
2022-01-12 00:00:00+00:00,246.9556829263,248.4931827611,245.5038508017,246.7922316275,581607
2022-01-13 00:00:00+00:00,241.2348874682,248.4363593978,241.0329770403,246.638395111,1011987
2022-01-14 00:00:00+00:00,241.4560274607,242.0906030914,237.8697136694,239.6003744802,871494
2022-01-18 00:00:00+00:00,236.0332902534,239.2638571003,235.5717807038,239.1100205838,1070325
2022-01-19 00:00:00+00:00,234.8410572504,238.4421778065,234.6006876933,236.1582824231,861742
2022-01-20 00:00:00+00:00,229.6490748178,236.8505467474,229.0529583163,235.3506407113,624038
2022-01-21 00:00:00+00:00,228.0530209589,233.3219216497,227.6876592322,230.5817086992,756561
2022-01-24 00:00:00+00:00,230.2836504485,230.6297826106,221.1496072801,225.8320062517,1247398
2022-01-25 00:00:00+00:00,225.0243645399,229.6058082975,221.2072959738,227.476134022,1009017
2022-01-26 00:00:00+00:00,218.7843708386,226.7334882385,217.3036943671,226.3704340595,2121325
2022-01-27 00:00:00+00:00,214.4961779406,223.0437193897,213.5731588414,220.8034751179,1508138
2022-01-28 00:00:00+00:00,218.3709352004,218.5536160638,211.0348563189,215.5249596448,1032088
2022-01-31 00:00:00+00:00,223.0052602606,223.3898515519,218.1786395548,218.1786395548,882751
2022-02-01 00:00:00+00:00,222.8706533086,223.6686802381,219.3227986464,222.8610385264,864173
2022-02-02 00:00:00+00:00,228.5049157262,228.9183513643,223.4042737253,223.562917633,1022220
2022-02-03 00:00:00+00:00,226.5338853583,228.9952696226,226.1204497201,226.1204497201,725145
2022-02-04 00:00:00+00:00,226.4954262291,229.5385048216,224.8320688943,225.4954888718,904460
2022-02-07 00:00:00+00:00,227.4953635865,229.3798609139,225.0147497576,226.1685236315,684677
2022-02-08 00:00:00+00:00,227.2838383763,228.5193378996,225.1541641007,226.9088618673,566511
2022-02-09 00:00:00+00:00,229.3125574379,231.4085799755,228.2645461691,228.601063549,995687
2022-02-10 00:00:00+00:00,213.3135597198,222.7552759212,211.4386771747,220.8130899002,1837229
2022-02-11 00:00:00+00:00,207.6792973023,215.5634187739,205.0400395657,212.7559023474,1839738
2022-02-14 00:00:00+00:00,205.5736599824,209.881082445,202.9488244193,207.6792973023,1652068
2022-02-15 00:00:00+00:00,214.3038822949,214.784621409,208.7369233533,208.7369233533,2002736
2022-02-16 00:00:00+00:00,212.4866884435,213.5635440592,208.0542738113,212.2559336687,1408043
2022-02-17 00:00:00+00:00,207.5927642617,212.0444084585,207.5062312212,211.5252102153,1036975
2022-02-18 00:00:00+00:00,209.4195728954,211.1646558797,206.208235613,207.8523633834,1096635
2022-02-22 00:00:00+00:00,204.8717808758,210.2368293894,203.2276531055,207.8812077302,957422
2022-02-23 00:00:00+00:00,199.6413393141,207.1793286236,199.5067323621,205.3429052076,906147
