date,Ticker,Timeframe,Close,High,Low,Open,Volume,SMA_200
2025-07-03 00:00:00+00:00,CURA,daily,0.83645,0.85,0.816,0.85,117555,1.5700951300000003
2025-07-03 00:00:00+00:00,NANO,daily,104.04,104.75,102.76,104.11,698963,154.73335
2025-07-03 00:00:00+00:00,ECOR,daily,6.11,6.2199,5.39,5.39,185164,10.1980845
2025-07-03 00:00:00+00:00,FC,daily,22.1,22.44,21.14,22.26,467756,31.68705
2025-07-03 00:00:00+00:00,WEED,daily,10.0618,10.29,10.035,10.05,20367,16.582300500000002
2025-07-03 00:00:00+00:00,ADN,daily,2.03,2.07,2.0,2.07,20343,3.8347825
2025-07-03 00:00:00+00:00,NEO,daily,7.55,7.695,7.4,7.42,1109777,12.189075
2025-07-03 00:00:00+00:00,BITF,daily,1.02,1.07,1.0,1.01,28048379,1.4529305
2025-07-03 00:00:00+00:00,IMG,daily,0.2707,0.2748,0.2671,0.27,144106,0.6261405
2023-06-13 00:00:00+00:00,CS,daily,0.89,0.89,0.89,0.89,0,2.9238395
2023-11-15 00:00:00+00:00,PYR,daily,0.3799,0.3799,0.3502,0.3502,29889,0.68646586
2025-07-03 00:00:00+00:00,CHR,daily,1.625,1.71,1.595,1.71,29152,2.133618
2023-03-21 00:00:00+00:00,ISO,daily,0.7616,0.7616,0.7616,0.7616,0,1.8034625
2022-11-04 00:00:00+00:00,IS,daily,2.74,2.96,2.72,2.91,12005512,4.1011500000000005
2025-07-03 00:00:00+00:00,GFR,daily,4.56,4.68,4.5,4.67,36965,6.09115
2023-10-27 00:00:00+00:00,EGLX,daily,0.25,0.32,0.25,0.29,220126,0.52117325
2025-02-24 00:00:00+00:00,TCS,daily,0.14046,0.14046,0.14046,0.14046,0,8.0269472
2025-07-03 00:00:00+00:00,SPB,daily,56.58,57.4099,56.04,56.81,480962,75.991219420339
2025-07-03 00:00:00+00:00,TLRY,daily,0.5387,0.5493,0.46,0.4895,43044202,0.991215
2025-07-03 00:00:00+00:00,QIPT,daily,1.78,1.8,1.755,1.77,110105,2.4758
2025-07-03 00:00:00+00:00,SMC,daily,25.29,25.46,24.9,25.11,39608,34.41205
2025-07-03 00:00:00+00:00,PET,daily,0.165,0.1741,0.1456,0.1741,1476121,0.327473005
