date,Ticker,Timeframe,Close,High,Low,Open,Volume,SMA_200
2025-07-03 00:00:00+00:00,CLS,daily,159.26,160.63,154.33,154.88,2227845,94.8418
2025-07-03 00:00:00+00:00,SKE,daily,15.82,15.83,15.29,15.67,202474,10.55335
2025-07-03 00:00:00+00:00,SII,daily,69.92,69.98,68.48,68.48,74660,47.216169856984
2025-07-03 00:00:00+00:00,SHLE,daily,0.0001,0.0001,0.0001,0.0001,0,4.654e-05
2025-07-03 00:00:00+00:00,SSRM,daily,13.18,13.45,13.0,13.01,1806568,8.7727
2025-07-03 00:00:00+00:00,NGD,daily,4.99,4.99,4.81,4.85,11340008,3.2884
2025-07-03 00:00:00+00:00,EPRX,daily,5.39,5.74,5.3,5.55,8647,3.401499
2025-07-03 00:00:00+00:00,MOGO,daily,2.2,2.67,2.04,2.43,13049659,1.191453005
2025-07-03 00:00:00+00:00,CNL,daily,11.885,11.98,11.615,11.66,30849,6.5496775000000005
2025-07-03 00:00:00+00:00,TSAT,daily,26.1,26.14,25.39,25.75,109053,16.6537
2025-07-03 00:00:00+00:00,GDC,daily,3.51,3.5335,3.2999,3.32,57525,2.311669
2025-07-03 00:00:00+00:00,ASM,daily,3.5,3.56,3.21,3.22,3888902,1.7226274999999998
2025-07-03 00:00:00+00:00,SLS,daily,2.17,2.1998,2.115,2.12,1396373,1.2973084999999998
2025-07-03 00:00:00+00:00,SVA,daily,6.47,6.47,6.47,6.47,0,1.491457621584
