date,Ticker,Timeframe,Close,High,Low,Open,Volume,aVWAP_OB_bull_773,aVWAP_OB_bull_691,aVWAP_OB_bull_630,aVWAP_OB_bull_440,aVWAP_OB_bear_563,aVWAP_OB_bear_265,Peaks_Valleys_avg,aVWAP_OB_bull_461,aVWAP_OB_bear_781,aVWAP_OB_bear_715,aVWAP_OB_bull_819,aVWAP_OB_bear_809,aVWAP_OB_bear_759,aVWAP_OB_bear_664,aVWAP_OB_bull_146,aVWAP_OB_bear_323,aVWAP_OB_bull_634,aVWAP_OB_bull_551,aVWAP_OB_bear_835,aVWAP_OB_bull_817,aVWAP_OB_bull_583,aVWAP_OB_bull_523,aVWAP_OB_bull_297,aVWAP_OB_bear_676,aVWAP_OB_bull_838,aVWAP_OB_bull_842,aVWAP_OB_bull_788,aVWAP_OB_bull_586,aVWAP_OB_bear_448,aVWAP_OB_bear_428,aVWAP_OB_bull_850,aVWAP_OB_bull_182,aVWAP_OB_bull_690,aVWAP_OB_bull_649,aVWAP_OB_bull_564,aVWAP_OB_bull_413,aVWAP_OB_bull_350,aVWAP_OB_bull_245,aVWAP_OB_bull_111,aVWAP_OB_bull_759,aVWAP_OB_bull_697,aVWAP_OB_bull_629,aVWAP_OB_bull_573,aVWAP_OB_bull_439
2025-07-03 00:00:00+00:00,TRP,daily,48.15,48.5003,47.92,48.0,2123593,47.143963770784914,46.3718150948732,45.10239020754594,40.11192353000343,42.363529531797,38.24554591103472,48.251403836884606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03 00:00:00+00:00,AVNT,daily,34.43,34.7525,34.3,34.73,321800,,,,,,,34.7524755865954,40.07127203287831,36.0530884282443,38.99680947329807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03 00:00:00+00:00,DBO,daily,13.51,13.57,13.44,13.49,177653,,,,,,,13.596659920359144,,,,13.42082362478271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03 00:00:00+00:00,BTE,daily,1.83,1.88,1.83,1.87,21376294,,,,,,,1.834969946525964,,,,,1.7918065730697703,1.9610936074896952,2.1161035266087618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03 00:00:00+00:00,GFR,daily,4.56,4.68,4.5,4.67,36965,,,,,,,4.589321358969799,,,,,,,,6.410959669981532,5.277161296436502,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03 00:00:00+00:00,K,daily,80.0,80.055,79.84,80.0,1739002,,,,,,,80.05772712570298,,,,,,,,,,78.47725317025727,73.02953663233434,80.59132671869288,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-03 00:00:00+00:00,ALC,daily,87.78,88.92,87.24,88.85,1667063,,,,,,,88.23636937726467,,,,,,,,,,,,,88.89653810577036,89.79512028197087,88.62558721469831,84.00683325151364,89.69771760109461,,,,,,,,,,,,,,,,,,,,
2025-07-03 00:00:00+00:00,DAY,daily,57.27,57.28,55.92,55.94,784116,,,61.79896394311984,,,,57.28392129524696,,,,,,,,,,,,,,,,,,57.60374876749439,,,,,,,,,,,,,,,,,,,
2025-07-03 00:00:00+00:00,VOXR,daily,3.27,3.3,3.17,3.21,469592,,,,,,,3.292168230366804,,,,,,,,,,,,,,,,,,,3.310794856689403,3.1324788167849635,2.8047228219987392,2.7148007392773543,2.7059058007221632,,,,,,,,,,,,,,
2025-07-03 00:00:00+00:00,MRC,daily,13.32,13.56,13.08,13.53,910357,,,,,,,13.382167443254357,,,,,,,,,,,,,,,,,,,,,,,,13.566915480452128,11.554425527498465,,,,,,,,,,,,
2025-07-03 00:00:00+00:00,COST,daily,987.02,987.67,977.325,982.41,1101351,,,,,,,994.3691091870209,,981.8948561513156,,,,,,,,,,,,,,,,,,,,,,,,964.5329242265612,950.3420789301877,912.1680968007092,821.2237340274943,788.7814493320554,,,,,,,
2023-05-15 00:00:00+00:00,TA,daily,86.0,86.0,86.0,86.0,0,,,,,,,86.0633580836606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.63381518472082,74.50456764676181,,,,,
2025-07-03 00:00:00+00:00,PPL,daily,33.81,33.935,33.45,33.5,2411936,,,,,,,34.09816711781805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.20809831935257,33.62714023069213,32.660687733698495,31.71539011843397,29.29246087090794
