date,Open,High,Low,Close,Volume,aVWAP_OB_bull_856,aVWAP_OB_bull_624,aVWAP_OB_bear_713,aVWAP_OB_bear_419,aVWAP_OB_bear_339,OB,OB_High,OB_Low,OB_Mitigated_Index,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-02 15:00:00+00:00,1.515,1.545,1.51,1.53,6815.0,,,,,,0.0,0.0,0.0,0.0,#000000,,,,,,False,False,False,False,False,,1.5274999999999999,1.5274999999999999,1,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,6815.0,False,False,False,False
2024-12-02 16:00:00+00:00,1.53,1.575,1.52,1.565,15862.0,,,,,,0.0,0.0,0.0,0.0,#000000,,,,100.0,,False,False,True,False,False,,1.5474999999999999,1.5474999999999999,1,0,,,False,False,False,False,,,False,False,False,False,15862.0,245.92248062015503,False,False,False,False,6955.263565891472,False,False,False,False
2024-12-02 17:00:00+00:00,1.56,1.58,1.56,1.575,8368.0,,,,,,0.0,0.0,0.0,0.0,#000000,,,,100.0,50.0,False,False,True,False,True,,1.57,1.57,1,0,,,False,False,False,False,,,False,False,False,False,24230.0,617.7686437113155,False,False,False,False,6977.166456342767,False,False,False,False
2024-12-02 18:00:00+00:00,1.575,1.575,1.56,1.575,12212.0,,,,,,0.0,0.0,0.0,0.0,#000000,,,,100.0,50.0,False,False,True,False,True,,1.5675,1.57,1,0,,,False,False,False,False,,,False,False,False,False,24230.0,983.8497500103649,False,False,False,False,7058.326666321948,False,False,False,False
2024-12-02 19:00:00+00:00,1.575,1.58,1.56,1.575,3590.0,,,,,,0.0,0.0,0.0,0.0,#000000,,,,100.0,50.0,False,False,True,False,True,,1.57,1.57,1,0,,,False,False,False,False,,,False,False,False,False,24230.0,1344.2551802427624,False,False,False,False,7004.554159867344,False,False,False,False
2024-12-02 20:00:00+00:00,1.575,1.58,1.565,1.565,10683.0,,,,,,0.0,0.0,0.0,0.0,#000000,,,,93.10179110314331,43.676641844548044,False,False,True,False,False,,1.57,1.5725,-1,0,,,False,False,False,False,,,False,False,False,False,13547.0,1533.4450224095413,False,False,False,False,7061.584327931417,False,False,False,False
2024-12-03 15:00:00+00:00,1.545,1.575,1.545,1.555,5157.0,,,,,,0.0,0.0,0.0,0.0,#000000,,,,83.626393394964,35.374094439653476,False,False,True,False,False,,1.56,1.56,-1,0,,,False,False,False,False,,,False,False,False,False,8390.0,1639.7482003566802,False,False,False,False,7032.055888738681,False,False,False,False
2024-12-03 16:00:00+00:00,1.555,1.555,1.55,1.555,337.0,,,,,,0.0,0.0,0.0,0.0,#000000,,,,76.85825217483591,29.935897113909107,False,False,True,False,False,,1.5525,1.56,1,0,,,False,False,False,False,,,False,False,False,False,8390.0,1744.403267017817,False,False,False,False,6928.2565726342045,False,False,False,False
2024-12-03 17:00:00+00:00,1.555,1.555,1.55,1.555,101.0,,,,,,0.0,0.0,0.0,0.0,#000000,,,,72.02386558903014,26.34245808860159,False,False,True,False,False,,1.5525,1.56,-1,0,,,False,False,False,False,,,False,False,False,False,8390.0,1847.4357745059126,False,False,False,False,6822.407633523597,False,False,False,False
2024-12-03 18:00:00+00:00,1.555,1.56,1.555,1.555,1735.0,,,,,,0.0,0.0,0.0,0.0,#000000,,,,68.57073231345458,23.918894155793012,False,False,True,False,False,,1.5525,1.56,-1,0,,,False,False,False,False,,,False,False,False,False,8390.0,1948.8708787771386,False,False,False,False,6743.533096569742,False,False,False,False
