date,Open,High,Low,Close,Volume,aVWAP_OB_bull_826,aVWAP_OB_bull_776,aVWAP_OB_bull_617,aVWAP_OB_bear_760,OB,OB_High,OB_Low,OB_Mitigated_Index,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-02 15:00:00+00:00,59.555,59.66,59.42,59.45,55633.0,,,,,0.0,0.0,0.0,0.0,#000000,,,,,,False,False,False,False,False,,59.54,59.54,1,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,55633.0,False,False,False,False
2024-12-02 16:00:00+00:00,59.455,59.61,59.37,59.6,55107.0,,,,,0.0,0.0,0.0,0.0,#000000,,,,100.0,,False,False,True,False,False,,59.489999999999995,59.54,1,0,,,False,False,False,False,,,False,False,False,False,55107.0,854.3720930232558,False,False,False,False,55624.84496124031,False,False,False,False
2024-12-02 17:00:00+00:00,59.605,59.695,59.565,59.585,32061.0,,,,,0.0,0.0,0.0,0.0,#000000,,,,97.16859716859705,38.67438867438818,False,False,True,False,True,,59.489999999999995,59.629999999999995,-1,0,,,False,False,False,False,,,False,False,False,False,23046.0,1198.4283396430503,False,False,False,False,55259.51403160868,False,False,False,False
2024-12-02 18:00:00+00:00,59.585,59.695,59.485,59.485,27677.0,,,,,0.0,0.0,0.0,0.0,#000000,,,,84.31297313284863,43.642533394086286,False,False,True,False,False,,59.489999999999995,59.629999999999995,-1,0,,,False,False,False,False,,,False,False,False,False,-4631.0,1108.049605695096,False,False,False,False,54831.878155149636,False,False,False,False
2024-12-02 19:00:00+00:00,59.49,59.515,59.35,59.375,44234.0,,,,,0.0,0.0,0.0,0.0,#000000,,,,70.10051816550879,30.935400616093702,False,False,True,False,False,,59.432500000000005,59.432500000000005,-1,0,,,False,False,False,False,,,False,False,False,False,-48865.0,333.2736428161023,False,False,False,False,54667.5699666977,False,False,False,False
2024-12-02 20:00:00+00:00,59.375,59.49,59.21,59.43,183892.0,,,,,0.0,0.0,0.0,0.0,#000000,,,,62.875041967266654,25.05644110890222,False,False,True,False,False,,59.35,59.432500000000005,1,0,,,False,False,False,False,,,False,False,False,False,135027.0,2421.5484700592638,False,False,False,False,56671.04950209774,False,False,False,False
2024-12-03 15:00:00+00:00,59.365,59.425,59.255,59.32,26275.0,,,,,0.0,0.0,0.0,0.0,#000000,,,,54.43434584619121,17.915845168322804,False,False,False,False,False,,59.34,59.432500000000005,-1,0,,,False,False,False,False,,,False,False,False,False,108752.0,4070.082602306407,False,False,False,False,56199.79292066987,False,False,False,False
2024-12-03 16:00:00+00:00,59.32,59.43,59.285,59.325,29510.0,,,,,0.0,0.0,0.0,0.0,#000000,,,,48.646153882478714,13.138363790204927,False,False,False,True,False,,59.34,59.3575,-1,0,,,False,False,False,False,,,False,False,False,False,138262.0,6150.577445681502,False,False,False,False,55785.99768158972,False,False,False,False
2024-12-03 17:00:00+00:00,59.33,59.46,59.33,59.395,48911.0,,,,,0.0,0.0,0.0,0.0,#000000,,,,47.57731073553819,12.457911870291099,False,False,False,True,False,,59.34,59.394999999999996,1,0,,,False,False,False,False,,,False,False,False,False,187173.0,8957.12663257016,False,False,False,False,55679.408570247244,False,False,False,False
2024-12-03 18:00:00+00:00,59.39,59.42,59.33,59.385,44449.0,,,,,0.0,0.0,0.0,0.0,#000000,,,,46.493421271576246,11.320712626684717,False,False,False,True,False,,59.34,59.394999999999996,-1,0,,,False,False,False,False,,,False,False,False,False,142724.0,11031.031646018684,False,False,False,False,55505.29370869302,False,False,False,False
