date,Close,High,Low,Open,Volume,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-01-14 00:00:00+00:00,24.7696732894,24.7696732894,24.7696732894,24.7696732894,3,#000000,,,,,,False,False,False,False,False,,24.7696732894,24.7696732894,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,3.0,False,False,False,False
2025-01-15 00:00:00+00:00,24.7597555023,24.7597555023,24.7597555023,24.7597555023,4,#000000,,,,0.0,,False,False,False,True,False,,24.7597555023,24.7696732894,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4,-0.1568627450980392,False,False,False,False,3.0392156862745097,False,False,False,False
2025-01-16 00:00:00+00:00,24.6091043162,24.6091043162,24.6091043162,24.6091043162,2,#000000,,,,0.0,-50.0,False,False,False,True,True,,24.6091043162,24.6091043162,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6,-0.3860053825451749,False,False,False,False,2.998462129950019,False,False,False,False
2025-01-17 00:00:00+00:00,25.0027412863,25.0027412863,25.0027412863,25.0027412863,29,#000000,,,,13.125903585175575,-37.267873522379695,False,False,False,True,True,,24.6091043162,25.0027412863,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,23,0.5310928677507143,False,False,False,False,4.018130281716685,False,False,False,False
2025-01-21 00:00:00+00:00,25.0295193115,25.0295193115,25.0295193115,25.0295193115,2,#000000,,,,24.11445522158426,-26.92400012110748,False,False,False,True,True,,25.0295193115,25.0295193115,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,25,1.4906578533291177,False,False,False,False,3.9389879177277956,False,False,False,False
2025-01-22 00:00:00+00:00,25.4416033656,26.1829579515,25.4416033656,26.1829579515,6558,#000000,,,,35.242249680341565,-16.64184431314652,False,False,True,False,True,,25.0295193115,25.81228065855,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6583,259.5890634277083,False,False,False,False,260.9609883915424,False,False,False,False
2025-01-23 00:00:00+00:00,25.3256644344,25.3256644344,25.2903571123,25.2903571123,1046,#000000,,,,42.537455148229526,-10.231621376505359,False,False,True,False,True,,25.0295193115,25.81228065855,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5537,466.5463550579942,False,False,False,False,291.74683198403096,False,False,False,False
2025-01-24 00:00:00+00:00,25.4985314636,25.4985314636,25.3796171962,25.4391239188,1122,#000000,,,,49.20095046489377,-4.4571760044036,False,False,True,False,True,,25.0295193115,25.81228065855,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6659,709.3876744674847,False,False,False,False,324.30577974936307,False,False,False,False
2025-01-27 00:00:00+00:00,25.433569958,25.6771508093,25.433569958,25.6771508093,425,#000000,,,,53.8184479935329,-0.6617525920262892,False,False,True,False,True,,25.0295193115,25.81228065855,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6234,926.0391382138579,False,False,False,False,328.25457270036844,False,False,False,False
2025-01-28 00:00:00+00:00,25.342822206,25.342822206,25.342822206,25.342822206,45,#000000,,,,56.52853016001936,1.3459490811491008,False,False,True,False,True,,25.0295193115,25.81228065855,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6189,1132.429760244687,False,False,False,False,317.14655024153046,False,False,False,False
