date,Open,High,Low,Close,Volume,aVWAP_OB_bull_601,aVWAP_OB_bear_810,aVWAP_OB_bear_525,aVWAP_OB_bear_417,aVWAP_OB_bear_392,aVWAP_OB_bear_113,OB,OB_High,OB_Low,OB_Mitigated_Index,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-02 15:00:00+00:00,239.33,240.78,238.965,240.095,177354.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,,,False,False,False,False,False,,239.8725,239.8725,1,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,177354.0,False,False,False,False
2024-12-02 16:00:00+00:00,240.105,240.24,239.37,239.955,109369.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,0.0,,False,False,False,True,False,,239.805,239.8725,1,0,,,False,False,False,False,,,False,False,False,False,-109369.0,-1695.6434108527133,False,False,False,False,176299.96899224806,False,False,False,False
2024-12-02 17:00:00+00:00,239.945,240.2,239.51,239.52,64771.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,0.0,-50.0,False,False,False,True,True,,239.805,239.8725,-1,0,,,False,False,False,False,,,False,False,False,False,-174140.0,-4369.199326963524,False,False,False,False,174570.83769004265,False,False,False,False
2024-12-02 18:00:00+00:00,239.525,239.72,239.03,239.15,54545.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,0.0,-50.0,False,False,False,True,True,,239.375,239.375,-1,0,,,False,False,False,False,,,False,False,False,False,-228685.0,-7846.963678483469,False,False,False,False,172709.9719894218,False,False,False,False
2024-12-02 19:00:00+00:00,239.145,239.665,239.045,239.64,40313.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,10.843871298133488,-40.05978464337764,False,False,False,True,True,,239.355,239.375,1,0,,,False,False,False,False,,,False,False,False,False,-188372.0,-10645.801450910083,False,False,False,False,170657.30575702767,False,False,False,False
2024-12-02 20:00:00+00:00,239.635,239.94,239.145,239.59,124377.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,18.14641048035779,-33.96822768734611,False,False,False,True,True,,239.54250000000002,239.54250000000002,1,0,,,False,False,False,False,,,False,False,False,False,-312749.0,-15329.571971051011,False,False,False,False,169939.78163676368,False,False,False,False
2024-12-03 15:00:00+00:00,240.865,241.36,240.355,241.2,182922.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,34.108287979982535,-20.11872657622108,False,False,False,True,True,,240.85750000000002,240.85750000000002,1,0,,,False,False,False,False,,,False,False,False,False,-129827.0,-17104.725893980452,False,False,False,False,170141.05634006966,False,False,False,False
2024-12-03 16:00:00+00:00,241.2,241.535,240.81,241.41,113919.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,46.090356431521,-10.484674805541076,False,False,False,False,True,,241.1725,241.1725,1,0,,,False,False,False,False,,,False,False,False,False,-15908.0,-17086.172004151296,False,False,False,False,169269.39655185153,False,False,False,False
2024-12-03 17:00:00+00:00,241.405,241.695,241.14,241.67,63873.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,55.30783196087146,-3.4832496198698024,False,False,True,False,True,,241.4175,241.4175,1,0,,,False,False,False,False,,,False,False,False,False,47965.0,-16077.626701761354,False,False,False,False,167635.34389213292,False,False,False,False
2024-12-03 18:00:00+00:00,241.665,241.82,241.32,241.72,76244.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,62.01518564325174,1.370430783111047,False,False,True,False,True,,241.57,241.57,1,0,,,False,False,False,False,,,False,False,False,False,124209.0,-13902.640241268928,False,False,False,False,166218.42383178978,False,False,False,False
