date,Close,High,Low,Open,Volume,aVWAP_OB_bear_713,aVWAP_OB_bear_645,aVWAP_OB_bear_272,aVWAP_OB_bear_232,aVWAP_OB_bear_60,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,7.39,7.695,7.08,7.19,21604683,,,,,,#000000,,,,,,False,False,False,False,False,,7.3875,7.3875,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,21604683.0,False,False,False,False
2022-01-04 00:00:00+00:00,7.11,7.48,6.96,7.46,24622803,,,,,,#000000,,,,0.0,,False,False,False,True,False,,7.220000000000001,7.3875,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-24622803,-965600.1176470588,False,False,False,False,21723040.647058826,False,False,False,False
2022-01-05 00:00:00+00:00,6.63,7.29,6.61,7.06,30015771,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,6.95,6.95,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-54638574,-3070422.6228373703,False,False,False,False,22048245.75893887,False,False,False,False
2022-01-06 00:00:00+00:00,6.44,6.84,6.355,6.67,27322287,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,6.5975,6.5975,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-81960861,-6164165.304294729,False,False,False,False,22255070.90564715,False,False,False,False
2022-01-07 00:00:00+00:00,6.42,6.77,6.29,6.51,27456525,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,6.529999999999999,6.529999999999999,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-109417386,-10213311.21393023,False,False,False,False,22459049.497582555,False,False,False,False
2022-01-10 00:00:00+00:00,7.29,7.84,6.95,7.16,107145707,,,,,,#000000,,,,9.3424663822618,-40.937807609206054,False,False,False,True,True,,6.529999999999999,7.395,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2271679,-9901874.656521201,False,False,False,False,25780094.88983422,False,False,False,False
2022-01-11 00:00:00+00:00,7.38,7.56,6.8,6.955,33332795,,,,,,#000000,,,,17.455915902370613,-33.29198076787479,False,False,False,True,True,,6.529999999999999,7.395,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,31061116,-8295482.866069389,False,False,False,False,26076279.20787994,False,False,False,False
2022-01-12 00:00:00+00:00,7.15,7.7,7.07,7.49,23457705,,,,,,#000000,,,,22.864257410366633,-28.41718490822601,False,False,False,True,True,,6.529999999999999,7.395,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7603411,-7671996.832105883,False,False,False,False,25973590.023257196,False,False,False,False
2022-01-13 00:00:00+00:00,6.87,7.31,6.85,7.2,16643337,,,,,,#000000,,,,26.09865979133722,-25.69917215065988,False,False,False,True,True,,6.529999999999999,7.395,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9039926,-7725641.11319977,False,False,False,False,25607697.747835346,False,False,False,False
2022-01-14 00:00:00+00:00,6.86,6.95,6.63,6.77,18055484,,,,,,#000000,,,,28.706533001559535,-23.56983241228187,False,False,False,True,True,,6.529999999999999,7.395,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-27095410,-8485239.893074289,False,False,False,False,25311532.502822194,False,False,False,False
