date,Close,High,Low,Open,Volume,aVWAP_OB_bull_84,aVWAP_OB_bull_75,aVWAP_OB_bear_130,aVWAP_OB_bear_111,aVWAP_OB_bear_91,aVWAP_OB_bear_52,aVWAP_OB_bear_19,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-08-12 00:00:00+00:00,7.7501,10.0,5.92,7.84,1362847,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,7.96,7.96,1,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1362847.0,False,False,False,False
2022-08-19 00:00:00+00:00,5.19,7.8,4.3,7.8,1565411,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,,False,False,False,True,False,,6.05,6.05,-1,0,,,False,False,False,False,,,False,False,False,False,-1565411,-115956.37037037036,False,False,False,False,1377851.7407407407,False,False,False,False
2022-08-26 00:00:00+00:00,4.94,8.33,4.71,6.17,5748814,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,6.05,6.52,-1,0,,,False,False,False,False,,,False,False,False,False,-7314225,-649161.4540466391,False,False,False,False,1701626.7229080931,False,False,False,False
2022-09-02 00:00:00+00:00,4.2,5.0604,4.02,4.79,164405,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,4.5402,4.5402,-1,0,,,False,False,False,False,,,False,False,False,False,-7478630,-1155048.0130061475,False,False,False,False,1587758.4471371232,False,False,False,False
2022-09-09 00:00:00+00:00,5.15,5.5,4.02,4.14,450444,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,5.358285259675363,-44.89288436187192,False,False,False,True,True,,4.5402,4.76,1,0,,,False,False,False,False,,,False,False,False,False,-7028186,-1590095.2713019883,False,False,False,False,1503512.9325343734,False,False,False,False
2022-09-16 00:00:00+00:00,5.37,6.5,4.8,5.34,549848,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,10.477813045207652,-40.20171165744692,False,False,False,True,True,,4.5402,5.65,-1,0,,,False,False,False,False,,,False,False,False,False,-6478338,-1952187.3252796186,False,False,False,False,1432871.0856799753,False,False,False,False
2022-09-23 00:00:00+00:00,2.45,5.4393,2.34,5.34,824803,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,11.649730501214506,-39.40206961768418,False,False,False,True,True,,3.88965,5.65,-1,0,,,False,False,False,False,,,False,False,False,False,-7303141,-2348554.264147795,False,False,False,False,1387829.0052592363,False,False,False,False
2022-09-30 00:00:00+00:00,2.05,2.5799,1.96,2.3801,127706,,,,,,,,0.0,0.0,0.0,0.0,2.196633333333333,#000000,,2.196633333333333,,12.346486932995903,-39.006562632346636,False,False,False,True,False,,3.88965,-4.907400000000001,-1,0,,,False,False,False,False,,,False,False,False,False,-7430847,-2725020.39272944,False,False,False,False,1294486.5604252187,False,False,False,False
2022-10-07 00:00:00+00:00,2.53,2.8525,1.97,2.21,184389,,,,,,,,0.0,0.0,0.0,0.0,2.3468173599918827,#000000,,2.3468173599918827,,14.272838843578334,-37.380011175547864,False,False,False,True,False,,3.88965,-3.5670375000000005,-1,1,,,False,False,False,False,,,False,False,False,False,-7246458,-3059941.6969717033,False,False,False,False,1212257.111504832,False,False,False,False
2022-10-14 00:00:00+00:00,2.92,3.0,2.1926,2.45,122717,,,,,,,,0.0,0.0,0.0,0.0,2.447681470075956,#000000,,2.447681470075956,,16.821357027278033,-35.154663722588346,True,False,False,True,True,,3.88965,-2.3722625000000006,-1,0,,,False,False,False,False,,,False,False,False,False,-7123741,-3360963.8675663923,False,False,False,False,1131550.436578548,False,False,False,False
