date,Close,High,Low,Open,Volume,aVWAP_OB_bull_46,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-05-24 00:00:00+00:00,9.7560432305,9.8189230332,9.7415325068,9.7512063226,8469,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,9.78022777,9.78022777,1,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,8469.0,False,False,False,False
2024-05-31 00:00:00+00:00,9.7488846068,9.7705539542,9.7366955989,9.7560432305,153,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,,False,False,False,True,False,,9.753624776550001,9.753624776550001,-1,0,,,False,False,False,False,,,False,False,False,False,-153,-11.333333333333332,False,False,False,False,7853.0,False,False,False,False
2024-06-07 00:00:00+00:00,9.7995754016,9.828596849,9.7899015858,9.7899015858,64201,,0.0,0.0,0.0,0.0,,#000000,,,,19.63429256375318,-89.26858512750637,False,False,False,True,True,,9.753624776550001,9.8092492174,1,0,,,False,False,False,False,,,False,False,False,False,64048,4733.802469135801,False,False,False,False,12026.925925925927,False,False,False,False
2024-06-14 00:00:00+00:00,9.8576182964,9.8721290201,9.8140861253,9.8140861253,45,,0.0,0.0,0.0,0.0,,#000000,,,,36.25150255032812,-72.5099493951262,False,False,True,False,True,,9.8431075727,9.8431075727,1,0,,,False,False,False,False,,,False,False,False,False,64093,9130.78006401463,False,False,False,False,11139.375857338822,False,False,False,False
2024-06-21 00:00:00+00:00,9.8672921122,9.8721290201,9.8527813885,9.8527813885,17,,0.0,0.0,0.0,0.0,,#000000,,,,49.28154124743021,-59.06426698867092,False,False,True,False,True,,9.8624552043,9.8624552043,1,0,,,False,False,False,False,,,False,False,False,False,64110,13203.31487408762,False,False,False,False,10315.496164202614,False,False,False,False
2024-06-28 00:00:00+00:00,9.8368195924,9.8721290201,9.8368195924,9.8672921122,7273,,0.0,0.0,0.0,0.0,,#000000,,,,54.71594708309005,-52.65471845789501,False,False,True,False,True,,9.85447430625,9.8624552043,-1,0,,,False,False,False,False,,,False,False,False,False,56837,16435.43969822928,False,False,False,False,10090.126077965384,False,False,False,False
2024-07-05 00:00:00+00:00,9.8610721062,9.8610721062,9.8222680842,9.8271185869,2049,,0.0,0.0,0.0,0.0,,#000000,,,,59.874869081921915,-46.09461065273225,False,False,True,False,True,,9.8416700952,9.8624552043,1,0,,,False,False,False,False,,,False,False,False,False,58886,19579.925646508593,False,False,False,False,9494.487109227208,False,False,False,False
2024-07-12 00:00:00+00:00,9.88532462,9.88532462,9.8513711007,9.8562216035,155,,0.0,0.0,0.0,0.0,,#000000,,,,64.60396505816671,-39.63988504654788,False,False,True,False,True,,10.014946363974998,9.8624552043,1,0,,,False,False,False,False,,,False,False,False,False,59041,22502.968191211658,False,False,False,False,8802.673249284451,False,False,False,False
2024-07-19 00:00:00+00:00,9.88532462,9.8901751228,9.8707731117,9.8707731117,686,,0.0,0.0,0.0,0.0,,#000000,,,,68.28215081746822,-33.96536890140497,False,False,True,False,True,,10.0053269276375,9.8624552043,1,0,,,False,False,False,False,,,False,False,False,False,59041,25209.489065936723,False,False,False,False,8201.4381937819,False,False,False,False
2024-07-26 00:00:00+00:00,9.8950256255,9.8950256255,9.88532462,9.88532462,5054,,0.0,0.0,0.0,0.0,,#000000,,,,71.40626592230834,-28.642888744837023,True,False,True,False,True,,10.0059689269625,9.8624552043,1,0,,,False,False,False,False,,,False,False,False,False,64095,28089.897283274742,False,False,False,False,7968.29462387213,False,False,False,False
