date,Open,High,Low,Close,Volume,aVWAP_OB_bull_776,aVWAP_OB_bull_677,aVWAP_OB_bull_563,OB,OB_High,OB_Low,OB_Mitigated_Index,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-02 15:00:00+00:00,39.225,39.28,38.905,39.015,18579.0,,,,0.0,0.0,0.0,0.0,#000000,,,,,,False,False,False,False,False,,39.0925,39.0925,1,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,18579.0,False,False,False,False
2024-12-02 16:00:00+00:00,39.015,39.11,38.835,38.865,29841.0,,,,0.0,0.0,0.0,0.0,#000000,,,,0.0,,False,False,False,True,False,,38.9725,38.9725,-1,0,,,False,False,False,False,,,False,False,False,False,-29841.0,-462.65116279069764,False,False,False,False,18753.60465116279,False,False,False,False
2024-12-02 17:00:00+00:00,38.865,39.07,38.85,39.025,41140.0,,,,0.0,0.0,0.0,0.0,#000000,,,,15.425065731814115,-80.85013146362823,False,False,False,True,True,,38.96,38.9725,1,0,,,False,False,False,False,,,False,False,False,False,11299.0,-280.2999819722372,False,False,False,False,19100.680548043987,False,False,False,False
2024-12-02 18:00:00+00:00,39.025,39.1,39.005,39.055,13524.0,,,,0.0,0.0,0.0,0.0,#000000,,,,27.760146119309663,-68.25755229743947,False,False,False,True,True,,39.0525,39.0525,1,0,,,False,False,False,False,,,False,False,False,False,24823.0,108.89846736066568,False,False,False,False,19014.220384508422,False,False,False,False
2024-12-02 19:00:00+00:00,39.055,39.15,39.0,39.05,20864.0,,,,0.0,0.0,0.0,0.0,#000000,,,,36.26893080544048,-59.00074500503957,False,False,False,True,True,,39.0525,39.075,-1,0,,,False,False,False,False,,,False,False,False,False,3959.0,168.58996399073288,False,False,False,False,19042.89913823697,False,False,False,False
2024-12-02 20:00:00+00:00,39.05,39.265,39.035,39.225,62289.0,,,,0.0,0.0,0.0,0.0,#000000,,,,47.3184122827405,-47.09510251286991,False,False,False,False,True,,39.0525,39.15,1,0,,,False,False,False,False,,,False,False,False,False,66248.0,1193.076941293202,False,False,False,False,19713.381322140274,False,False,False,False
2024-12-03 15:00:00+00:00,38.825,38.83,38.665,38.69,23858.0,,,,0.0,0.0,0.0,0.0,#000000,,,,42.802266610033584,-47.09510251286991,False,False,False,True,True,,38.7475,39.15,-1,0,,,False,False,False,False,,,False,False,False,False,42390.0,1831.788926699509,False,False,False,False,19777.63897606058,False,False,False,False
2024-12-03 16:00:00+00:00,38.685,38.835,38.655,38.815,41250.0,,,,0.0,0.0,0.0,0.0,#000000,,,,42.1131194511711,-47.09510251286991,False,False,False,True,True,,38.745000000000005,39.15,1,0,,,False,False,False,False,,,False,False,False,False,83640.0,3100.133284425098,False,False,False,False,20110.54379813716,False,False,False,False
2024-12-03 17:00:00+00:00,38.81,39.105,38.78,39.07,21331.0,,,,0.0,0.0,0.0,0.0,#000000,,,,45.45880509424397,-43.01450937843143,False,False,False,False,True,,38.745000000000005,39.15,-1,0,,,False,False,False,False,,,False,False,False,False,104971.0,4679.526566837111,False,False,False,False,20129.46559971643,False,False,False,False
2024-12-03 18:00:00+00:00,39.07,39.11,38.94,39.015,38159.0,,,,0.0,0.0,0.0,0.0,#000000,,,,47.068133184824575,-38.84277307256151,False,False,False,False,True,,38.745000000000005,39.15,-1,0,,,False,False,False,False,,,False,False,False,False,66812.0,5642.820728591574,False,False,False,False,20408.993264837103,False,False,False,False
2024-12-03 19:00:00+00:00,39.015,39.045,38.95,38.995,18607.0,,,,0.0,0.0,0.0,0.0,#000000,,,,47.927213685320226,-35.278307290451096,False,False,False,False,True,,38.745000000000005,39.15,-1,0,,,False,False,False,False,,,False,False,False,False,48205.0,6302.699476985503,False,False,False,False,20381.05538476211,False,False,False,False
2024-12-03 20:00:00+00:00,38.995,39.075,38.94,38.955,30099.0,,,,0.0,0.0,0.0,0.0,#000000,,,,47.940851663843986,-32.46469044857819,False,False,False,False,True,,38.745000000000005,39.15,-1,0,,,False,False,False,False,,,False,False,False,False,18106.0,6485.696384319061,False,False,False,False,20531.721192750294,False,False,False,False
2024-12-04 15:00:00+00:00,38.695,38.73,38.355,38.48,11970.0,,,,0.0,0.0,0.0,0.0,#000000,,,,43.099366334570355,-32.46469044857819,False,False,False,True,True,,38.5425,39.15,-1,0,,,False,False,False,False,,,False,False,False,False,6136.0,6480.274734949773,False,False,False,False,20398.9813292968,False,False,False,False
