date,Open,High,Low,Close,Volume,aVWAP_OB_bull_782,aVWAP_OB_bull_628,aVWAP_OB_bull_586,aVWAP_OB_bull_551,aVWAP_OB_bull_204,aVWAP_OB_bear_878,aVWAP_OB_bear_316,aVWAP_OB_bear_243,aVWAP_OB_bear_109,aVWAP_OB_bear_44,OB,OB_High,OB_Low,OB_Mitigated_Index,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-02 15:00:00+00:00,151.95,151.95,150.595,150.91,1012.0,,,,,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,,,False,False,False,False,False,,151.27249999999998,151.27249999999998,1,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1012.0,False,False,False,False
2024-12-02 16:00:00+00:00,150.91,151.415,150.81,151.21,1091.0,,,,,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,100.0,,False,False,True,False,False,,151.1125,151.27249999999998,1,0,,,False,False,False,False,,,False,False,False,False,1091.0,16.91472868217054,False,False,False,False,1013.2248062015503,False,False,False,False
2024-12-02 17:00:00+00:00,151.21,151.81,151.175,151.68,942.0,,,,,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,100.0,50.0,False,False,True,False,True,,151.4925,151.4925,1,0,,,False,False,False,False,,,False,False,False,False,2033.0,48.17186467159425,False,False,False,False,1012.120545640286,False,False,False,False
2024-12-02 18:00:00+00:00,151.68,152.25,151.6,152.25,625.0,,,,,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,100.0,50.0,False,False,True,False,True,,151.925,151.925,1,0,,,False,False,False,False,,,False,False,False,False,2658.0,88.63431638211216,False,False,False,False,1006.1186767156303,False,False,False,False
2024-12-02 19:00:00+00:00,152.25,152.46,151.95,152.46,1330.0,,,,,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,100.0,50.0,False,False,True,False,True,,152.20499999999998,152.20499999999998,1,0,,,False,False,False,False,,,False,False,False,False,3988.0,149.08959829866853,False,False,False,False,1011.1400925805042,False,False,False,False
2024-12-02 20:00:00+00:00,152.45,152.77,152.4,152.57,5701.0,,,,,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,100.0,50.0,False,False,True,False,True,,152.20499999999998,152.585,-1,0,,,False,False,False,False,,,False,False,False,False,9689.0,296.995185921945,False,False,False,False,1083.8510988970854,False,False,False,False
2024-12-03 15:00:00+00:00,151.15,151.23,150.44,150.52,1159.0,,,,,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,82.02831988022967,33.52595989021053,False,False,True,False,False,,150.83499999999998,152.585,-1,0,,,False,False,False,False,,,False,False,False,False,8530.0,424.63867141152724,False,False,False,False,1085.016198138991,False,False,False,False
2024-12-03 16:00:00+00:00,150.5,150.54,150.185,150.31,1260.0,,,,,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,68.48983684752893,22.1141104502221,False,False,True,False,False,,150.3625,150.3625,-1,0,,,False,False,False,False,,,False,False,False,False,7270.0,530.7683044128988,False,False,False,False,1087.729125299627,False,False,False,False
2024-12-03 17:00:00+00:00,150.31,150.685,149.98,150.665,924.0,,,,,,,,,,,0.0,0.0,0.0,0.0,#000000,,150.44333333333333,,60.86587414205765,16.50163258729326,False,False,True,False,False,,150.33249999999998,150.3625,1,0,,,False,False,False,False,,,False,False,False,False,8194.0,649.5780981429314,False,False,False,False,1085.1906892484699,False,False,False,False
2024-12-03 18:00:00+00:00,150.665,150.96,150.57,150.57,666.0,,,,,,,,,,,0.0,0.0,0.0,0.0,#000000,,150.55084276729556,,55.046905172189625,12.4078933265344,False,False,False,False,False,,150.33249999999998,150.765,-1,0,,,False,False,False,False,,,False,False,False,False,7528.0,756.220298171723,False,False,False,False,1078.691608795005,False,False,False,False
2024-12-03 19:00:00+00:00,150.495,150.875,150.36,150.865,904.0,,,,,,,,,,,0.0,0.0,0.0,0.0,#000000,,150.6049077786688,,52.53018717806666,11.094506125626793,False,False,False,False,False,,150.6175,150.765,1,0,,,False,False,False,False,,,False,False,False,False,8432.0,875.2246346341769,False,False,False,False,1075.9832117594235,False,False,False,False
2024-12-03 20:00:00+00:00,150.865,151.02,150.59,150.91,3907.0,,,,,,,,,,,0.0,0.0,0.0,0.0,#000000,,150.74840181221685,,50.97716927250758,10.268655014498307,False,False,False,False,False,,150.805,150.805,1,0,,,False,False,False,False,,,False,False,False,False,12339.0,1052.9575860351974,False,False,False,False,1119.8749449104403,False,False,False,False
