date,Close,High,Low,Open,Volume,aVWAP_OB_bear_163,aVWAP_OB_bear_149,aVWAP_OB_bear_58,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,46.36,46.64,45.5,46.02,133226,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,46.07,46.07,1,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,133226.0,False,False,False,False
2022-01-07 00:00:00+00:00,50.66,51.1,44.65,46.35,402355,,,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,,False,False,True,False,False,,47.875,47.875,1,0,,,False,False,False,False,,,False,False,False,False,402355,29804.074074074073,False,False,False,False,153161.48148148146,False,False,False,False
2022-01-14 00:00:00+00:00,49.78,52.52,49.28,51.12,349088,,,,0.0,0.0,0.0,0.0,,#000000,,,,96.00363306085379,34.01453224341515,False,False,True,False,True,,47.875,50.900000000000006,-1,0,,,False,False,False,False,,,False,False,False,False,53267,31542.068587105623,False,False,False,False,167674.55692729764,False,False,False,False
2022-01-21 00:00:00+00:00,45.33,49.18,45.33,49.18,194946,,,,0.0,0.0,0.0,0.0,,#000000,,,,83.90077556517197,46.26986812744822,False,False,True,False,False,,47.254999999999995,50.900000000000006,-1,0,,,False,False,False,False,,,False,False,False,False,-141679,18710.878321394095,False,False,False,False,169694.66382157188,False,False,False,False
2022-01-28 00:00:00+00:00,44.76,46.51,42.94,44.43,214360,,,,0.0,0.0,0.0,0.0,44.73666666666666,#000000,,44.73666666666666,,73.90188122237413,36.83733606532475,False,False,True,False,False,,44.724999999999994,50.900000000000006,1,0,,,False,False,False,False,,,False,False,False,False,-356039,-9048.371924635096,False,False,False,False,173003.2072421962,False,False,False,False
2022-02-04 00:00:00+00:00,46.63,47.38,44.5113,44.52,228360,,,,0.0,0.0,0.0,0.0,45.477939154921096,#000000,,45.477939154921096,,68.60017915917781,32.01565592556098,False,False,True,False,False,,44.724999999999994,50.900000000000006,-1,0,,,False,False,False,False,,,False,False,False,False,-127679,-17835.82585614361,False,False,False,False,177103.71040944092,False,False,False,False
2022-02-11 00:00:00+00:00,45.22,47.83,44.7601,46.26,271587,,,,0.0,0.0,0.0,0.0,45.652364831321364,#000000,,45.652364831321364,,63.04893912667085,26.882530230231083,False,False,False,False,False,,44.724999999999994,50.900000000000006,-1,0,,,False,False,False,False,,,False,False,False,False,-399266,-46089.9128297626,False,False,False,False,184102.4726013342,False,False,False,False
2022-02-18 00:00:00+00:00,46.69,48.64,45.4,45.41,220541,,,,0.0,0.0,0.0,0.0,45.94905490044014,#000000,,45.94905490044014,,60.30265409685832,24.36894623959907,False,False,False,False,False,,44.724999999999994,50.900000000000006,-1,1,,,False,False,False,False,,,False,False,False,False,-178725,-55914.73410163204,False,False,False,False,186801.62277901312,False,False,False,False
2022-02-25 00:00:00+00:00,46.37,46.63,43.52,46.46,160054,,,,0.0,0.0,0.0,0.0,45.88438609321504,#000000,,45.88438609321504,,57.8465102687793,21.986310071853524,False,False,False,False,False,,44.724999999999994,50.900000000000006,-1,1,,,False,False,False,False,,,False,False,False,False,-338779,-76867.64268669633,False,False,False,False,184820.3173879751,False,False,False,False
2022-03-04 00:00:00+00:00,44.03,47.31,43.65,45.85,211756,,,,0.0,0.0,0.0,0.0,45.74052295925943,#000000,,45.74052295925943,,53.9430055748537,18.101127090975467,False,True,False,True,False,,44.724999999999994,50.900000000000006,-1,1,,,False,False,False,False,,,False,False,False,False,-550535,-111954.11359879289,False,False,False,False,186815.553137014,False,False,False,False
