date,Close,High,Low,Open,Volume,aVWAP_OB_bull_797,aVWAP_OB_bull_751,aVWAP_OB_bull_649,aVWAP_OB_bull_513,aVWAP_OB_bull_489,aVWAP_OB_bull_183,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,3.03,3.1,2.99,3.1,3663876,,,,,,,#000000,,,,,,False,False,False,False,False,,3.045,3.045,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,3663876.0,False,False,False,False
2022-01-04 00:00:00+00:00,3.06,3.12,3.005,3.05,5265221,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,3.045,3.0625,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5265221,206479.25490196078,False,False,False,False,3726673.8431372554,False,False,False,False
2022-01-05 00:00:00+00:00,2.94,3.16,2.935,3.08,5576573,,,,,,,#000000,,,,85.29980657640233,-8.80077369439067,False,False,True,False,True,,3.045,3.0625,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-311352,186172.14686658978,False,False,False,False,3799218.908112265,False,False,False,False
2022-01-06 00:00:00+00:00,2.86,2.94,2.83,2.91,5385937,,,,,,,#000000,,,,72.00982758972438,-8.80077369439067,False,False,False,False,True,,2.885,2.885,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5697289,-44551.819677198044,False,False,False,False,3861443.1470098235,False,False,False,False
2022-01-07 00:00:00+00:00,2.79,2.895,2.78,2.87,7875536,,,,,,,#000000,,,,60.579447609812036,-8.80077369439067,False,False,False,True,True,,2.8375,2.8375,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13572825,-575072.336552602,False,False,False,False,4018858.5530094383,False,False,False,False
2022-01-10 00:00:00+00:00,2.86,2.87,2.755,2.78,5867459,,,,,,,#000000,,,,54.68623506926243,-8.80077369439067,False,False,False,True,True,,2.8125,2.8375,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7705366,-854691.6959034803,False,False,False,False,4091352.6881855386,False,False,False,False
2022-01-11 00:00:00+00:00,2.95,2.97,2.845,2.86,4650627,,,,,,,#000000,,,,52.754602835901196,-8.80077369439067,False,False,False,True,True,,2.9075,2.9075,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3054739,-940968.0607700105,False,False,False,False,4113285.0141390474,False,False,False,False
2022-01-12 00:00:00+00:00,2.88,2.9,2.785,2.79,8436660,,,,,,,#000000,,,,49.942511762108865,-8.80077369439067,False,False,False,True,True,,2.8425000000000002,2.9075,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11491399,-1354710.4505437356,False,False,False,False,4282829.131231634,False,False,False,False
2022-01-13 00:00:00+00:00,2.69,2.86,2.69,2.84,6510486,,,,,,,#000000,,,,45.56858355921872,-8.80077369439067,False,False,False,True,True,,2.775,2.9075,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18001885,-2007540.8250322165,False,False,False,False,4370188.224124511,False,False,False,False
2022-01-14 00:00:00+00:00,2.62,2.7,2.55,2.7,4996178,,,,,,,#000000,,,,41.48971170488478,-8.80077369439067,False,False,False,True,True,,2.625,2.625,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-22998063,-2830698.5573838945,False,False,False,False,4394736.842786294,False,False,False,False
2022-01-18 00:00:00+00:00,2.56,2.625,2.51,2.59,4991626,,,,,,,#000000,,,,37.78346653842522,26.468424972610876,False,False,False,True,False,,2.5675,2.5675,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-27989689,-3817325.6335649183,False,False,False,False,4418144.260716245,False,False,False,False
2022-01-19 00:00:00+00:00,2.79,2.81,2.5688,2.58,7480860,,,,,,,#000000,,,,38.50882838843575,25.869607669094208,False,False,False,True,False,,2.5675,2.6894,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-20508829,-4471894.393032961,False,False,False,False,4538250.760296,False,False,False,False
2022-01-20 00:00:00+00:00,2.7,2.8179,2.69,2.79,4140688,,,,,,,#000000,,,,38.36073736099832,24.279766465316285,False,False,False,True,False,,2.5675,2.7539499999999997,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-24649517,-5263173.710953237,False,False,False,False,4522660.063813805,False,False,False,False
2022-01-21 00:00:00+00:00,2.58,2.715,2.565,2.7,4250930,,,,,,,#000000,,,,37.411567634352075,21.832063896590455,False,False,False,True,False,,2.5675,2.7539499999999997,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-28900447,-6190125.604641345,False,False,False,False,4512003.98287993,False,False,False,False
2022-01-24 00:00:00+00:00,2.51,2.55,2.42,2.545,6800175,,,,,,,#000000,,,,36.21776985287384,19.11606348384973,False,False,False,True,False,,2.485,2.7539499999999997,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-35700622,-7347399.973086783,False,False,False,False,4601736.1796297375,False,False,False,False
2022-01-25 00:00:00+00:00,2.55,2.57,2.455,2.47,4564734,,,,,,,#000000,,,,35.74509004831432,17.095597005794602,False,False,False,True,False,,2.485,2.7539499999999997,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-31135888,-8280281.856495145,False,False,False,False,4600285.113761905,False,False,False,False
2022-01-26 00:00:00+00:00,2.46,2.61,2.42,2.55,5805214,,,,,,,#000000,,,,34.82697369255354,14.637811865600398,False,False,False,True,False,,2.485,2.7539499999999997,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-36941102,-9404235.587612983,False,False,False,False,4647537.226947713,False,False,False,False
2022-01-27 00:00:00+00:00,2.45,2.5,2.4,2.41,8282922,,,,,,,#000000,,2.45,,34.01945774719099,12.3092813014772,False,False,False,True,False,,2.45,2.45,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-45224024,-10808933.172412474,False,False,False,False,4790101.335694862,False,False,False,False
2022-01-28 00:00:00+00:00,2.47,2.49,2.42,2.42,5594397,,,,,,,#000000,,2.4540313240619462,,33.62283210824603,10.409634354961582,False,False,False,True,False,,2.45,2.455,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-39629627,-11939156.459768848,False,False,False,False,4821642.342138201,False,False,False,False
2022-01-31 00:00:00+00:00,2.42,2.5,2.4,2.48,5221902,,,,,,,#000000,,2.4450975157573183,,32.996248109846725,8.316532594914875,False,False,False,True,False,,2.45,2.455,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-44851529,-13229837.735856345,False,False,False,False,4837338.799309252,False,False,False,False
2022-02-01 00:00:00+00:00,2.53,2.62,2.47,2.49,8285328,,,,,,,#000000,,2.489352954478158,,33.855714216626794,7.760700453113273,False,False,False,True,False,,2.45,2.455,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-36566201,-14144989.236410998,False,False,False,False,4972554.0620814385,False,False,False,False
2022-02-02 00:00:00+00:00,2.52,2.58,2.48,2.56,5227758,,,,,,,#000000,,2.4968379578296354,,34.48850768037067,7.0270362770534405,False,True,False,True,False,,2.9609350000000005,2.455,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-41793959,-15229262.560473312,False,False,False,False,4982562.059646873,False,False,False,False
2022-02-03 00:00:00+00:00,2.55,2.58,2.45,2.5,6706803,,,,,,,#000000,,2.5027753864662925,,35.36494468491297,6.597550417524182,False,True,False,True,True,,2.9316850000000003,2.455,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-35087156,-16008003.479670437,False,False,False,False,5050179.351425426,False,False,False,False
