date,Open,High,Low,Close,Volume,aVWAP_OB_bear_7,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-06-23 13:30:00+00:00,58.56,58.89,58.56,58.62,732.0,,#000000,0.0,0.0,,,,,,False,False,False,False,False,,58.725,58.725,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,732.0,False,False,False,False
2025-06-23 13:35:00+00:00,58.62,58.935,58.62,58.93,275.0,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,100.0,,False,False,True,False,False,,58.725,58.7775,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,275.0,4.263565891472868,False,False,False,False,724.9147286821706,False,False,False,False
2025-06-23 13:40:00+00:00,58.94,59.125,58.94,59.07,1271.0,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,100.0,50.0,False,False,True,False,True,,59.0325,59.0325,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1546.0,28.166456342767862,False,False,False,False,733.3811669971756,False,False,False,False
2025-06-23 13:45:00+00:00,59.135,59.135,58.99,59.03,628.0,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,98.38691659777925,48.43530909984587,False,False,True,False,False,,59.0325,59.0625,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,918.0,41.96232523667844,False,False,False,False,731.7473504545836,False,False,False,False
2025-06-23 13:50:00+00:00,59.035,59.19,59.03,59.185,794.0,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,97.49662690133955,47.61044209595266,False,False,True,False,False,,59.0325,59.11,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1712.0,67.8543822097532,False,False,False,False,732.7125078118769,False,False,False,False
2025-06-23 13:55:00+00:00,59.185,59.225,59.11,59.17,1571.0,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,96.31811504999287,46.51913982916291,False,False,True,False,False,,59.167500000000004,59.167500000000004,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,141.0,68.98842279564849,False,False,False,False,745.7092131171191,False,False,False,False
2025-06-23 14:00:00+00:00,59.17,59.325,59.17,59.27,209.0,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,95.61047194752308,45.90135553546662,False,False,True,False,False,,59.2475,59.2475,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,350.0,73.34519143447565,False,False,False,False,737.3881400455358,False,False,False,False
2025-06-23 14:05:00+00:00,59.275,59.345,59.2,59.225,231.0,59.25666666666667,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,93.86479485031161,44.27792555039859,False,False,True,False,False,,59.2475,59.2725,-1,-1.0,59.345,59.2,54.0,0,,,False,False,False,False,,,False,False,False,False,119.0,74.05301792386364,False,False,False,False,729.5371611301011,False,False,False,False
2025-06-23 14:10:00+00:00,59.22,59.25,59.12,59.185,127.0,59.23124301675978,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,91.48013479922291,42.059694154677885,False,False,True,False,False,,59.185,59.185,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8.0,72.78087811109056,False,False,False,False,720.1954997172313,False,False,False,False
2025-06-23 14:15:00+00:00,59.185,59.23,59.135,59.15,559.0,59.19492548164303,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,88.74408763278925,39.534740020530734,False,False,True,False,False,,59.1825,59.1825,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-567.0,62.86179472952326,False,False,False,False,717.6963446828556,False,False,False,False
