date,Close,High,Low,Open,Volume,aVWAP_OB_bull_155,aVWAP_OB_bull_96,aVWAP_OB_bull_70,aVWAP_OB_bear_161,aVWAP_OB_bear_89,aVWAP_OB_bear_30,aVWAP_OB_bear_23,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,48.4432916784,49.9786528355,47.8256176498,49.2462679157,3204547,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,,,False,False,False,False,False,,48.902135242650004,48.902135242650004,1,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,3204547.0,False,False,False,False
2022-01-07 00:00:00+00:00,45.0196127766,49.4139222949,44.6048887859,48.5668264842,9569245,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.0,,False,False,False,True,False,,47.009405540399996,47.009405540399996,-1,0,,,False,False,False,False,,,False,False,False,False,-9569245,-708832.9629629629,False,False,False,False,3676006.111111111,False,False,False,False
2022-01-14 00:00:00+00:00,45.1696193264,47.7638502469,43.0121721833,44.289698553,11322306,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,0.9964245939694459,-51.992849187938894,False,False,False,True,True,,45.3880112151,45.3880112151,-1,0,,,False,False,False,False,,,False,False,False,False,1753061,-526470.4471879287,False,False,False,False,4242398.695473251,False,False,False,False
2022-01-21 00:00:00+00:00,43.3165972403,46.1113957419,43.1935036303,44.2872278568,9147851,,,,,,,,0.0,0.0,0.0,0.0,,#000000,,,,1.400318763163825,-51.56118015508318,False,False,False,True,True,,44.6524496861,44.6524496861,-1,0,,,False,False,False,False,,,False,False,False,False,-7394790,-1035234.8585073415,False,False,False,False,4605765.532845602,False,False,False,False
2022-01-28 00:00:00+00:00,42.7959862733,43.109235245,39.6899683005,41.5429903865,11288766,,,,,,,,0.0,0.0,0.0,0.0,41.865063272933334,#000000,,41.865063272933334,,1.651420822799146,-51.25430995390495,False,False,False,True,True,,41.39960177275,44.6524496861,1,0,,,False,False,False,False,,,False,False,False,False,-18683556,-2342517.906025316,False,False,False,False,5100802.604486669,False,False,False,False
2022-02-04 00:00:00+00:00,43.9607430131,47.702082844,42.615096022,42.7871623586,18265536,,,,,,,,0.0,0.0,0.0,0.0,43.65380179032147,#000000,,43.65380179032147,,6.062150654350983,-46.96223355645231,False,False,False,True,True,,41.39960177275,45.158589433,-1,0,,,False,False,False,False,,,False,False,False,False,-418020,-2199962.5055789966,False,False,False,False,6075968.04119136,False,False,False,False
2022-02-11 00:00:00+00:00,41.6577012776,45.3196258762,41.2341533722,43.9925973452,23809475,,,,,,,,0.0,0.0,0.0,0.0,43.244821076381,#000000,,43.244821076381,,8.097934042295314,-45.06546554700627,False,False,False,True,True,,41.39960177275,45.158589433,-1,0,,,False,False,False,False,,,False,False,False,False,-24227495,-3831631.5792398117,False,False,False,False,7389561.14925126,False,False,False,False
2022-02-18 00:00:00+00:00,40.5497122883,42.882806651,39.9021233587,41.4190782486,10189436,,,,,,,,0.0,0.0,0.0,0.0,42.90279501291331,#000000,,42.90279501291331,,9.238837788955653,-44.03504719405055,False,False,False,True,True,,41.39960177275,45.158589433,-1,1,,,False,False,False,False,,,False,False,False,False,-34416931,-6097209.314110937,False,False,False,False,7596959.28634376,False,False,False,False
2022-02-25 00:00:00+00:00,41.8182769038,41.9336009597,37.2319279094,40.2037401205,16988879,,,,,,,,0.0,0.0,0.0,0.0,42.35967551181541,#000000,,42.35967551181541,,12.792234146667369,-40.6816522173022,False,False,False,True,True,,41.39960177275,45.158589433,1,1,,,False,False,False,False,,,False,False,False,False,-17428052,-6936530.994547164,False,False,False,False,8292657.042910889,False,False,False,False
2022-03-04 00:00:00+00:00,38.7133984743,42.4550431142,38.2219405744,40.9843952684,12108603,,,,,,,,0.0,0.0,0.0,0.0,42.02473021966066,#000000,,42.02473021966066,,14.064093021074939,-39.56825831049554,True,False,False,True,True,,41.39960177275,45.158589433,-1,1,,,False,False,False,False,,,False,False,False,False,-29536655,-8610614.254210338,False,False,False,False,8575319.706398971,False,False,False,False
