date,Close,High,Low,Open,Volume,aVWAP_OB_bull_171,aVWAP_OB_bull_107,aVWAP_OB_bull_70,aVWAP_OB_bull_63,aVWAP_OB_bull_39,aVWAP_OB_bull_0,aVWAP_OB_bear_151,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,32.9309133296,33.4782415289,31.8727454774,32.2467530803,984947,,,,,,32.7606334453,,1.0,31.872746,33.47824,0.0,,#000000,,,,,,False,False,False,False,False,,32.67549350315,32.67549350315,1,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,984947.0,False,False,False,False
2022-01-07 00:00:00+00:00,35.1019818538,35.1658368104,33.0130125595,33.0130125595,2294856,,,,,,33.926539501390685,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,,False,False,True,False,False,,34.08942468495,34.08942468495,1,0,,,False,False,False,False,,,False,False,False,False,2294856,169989.3333333333,False,False,False,False,1081977.2962962962,False,False,False,False
2022-01-14 00:00:00+00:00,37.0176305516,37.1818290114,34.5364093811,35.202325357,2183867,,,,,,34.85336010484917,,0.0,0.0,0.0,0.0,,#000000,,,,100.0,50.0,False,False,True,False,True,,35.85911919625,35.85911919625,1,0,,,False,False,False,False,,,False,False,False,False,4478723,489154.79012345674,False,False,False,False,1163598.7558299038,False,False,False,False
2022-01-21 00:00:00+00:00,36.6801114953,38.7508365163,36.3061038924,37.7291572108,1992162,,,,,,35.49257739030602,,0.0,0.0,0.0,0.0,,#000000,,,,98.13269003654426,48.22022019108125,False,False,True,False,False,,35.85911919625,37.52847020435,-1,0,,,False,False,False,False,,,False,False,False,False,2486561,637110.8056698674,False,False,False,False,1224973.8109536145,False,False,False,False
2022-01-28 00:00:00+00:00,37.1362183282,38.5410273732,34.9469055306,35.3391574069,3179181,,,,,,35.90574775806609,,0.0,0.0,0.0,0.0,,#000000,,,,96.88287944677589,47.09464208861101,False,False,True,False,False,,35.85911919625,37.52847020435,-1,0,,,False,False,False,False,,,False,False,False,False,5665742,1009602.0052498772,False,False,False,False,1369729.8990311245,False,False,False,False
2022-02-04 00:00:00+00:00,39.2343097591,40.4475539344,36.8625542285,37.1544626015,2917971,,,,,,36.53924759923811,,0.0,0.0,0.0,0.0,,#000000,,,,96.49074180366122,46.8126926043263,False,False,True,False,False,,38.655054081450004,38.655054081450004,1,0,,,False,False,False,False,,,False,False,False,False,8583713,1570647.2641202565,False,False,False,False,1484414.4250288191,False,False,False,False
2022-02-11 00:00:00+00:00,41.0040042705,41.3506454634,38.8238136096,39.2981647157,2533190,,,,,,37.14609381967103,,0.0,0.0,0.0,0.0,,#000000,,,,96.4454983149567,46.8126926043263,False,False,True,False,True,,40.087229536500004,40.087229536500004,1,0,,,False,False,False,False,,,False,False,False,False,11116903,2277777.318629867,False,False,False,False,1562101.504656314,False,False,False,False
2022-02-18 00:00:00+00:00,39.6174394987,40.9908683937,38.9424013861,40.9036607673,2127744,,,,,,37.46199088290122,,0.0,0.0,0.0,0.0,,#000000,,,,92.82922654706024,43.45820255924451,False,False,True,False,False,,40.087229536500004,40.087229536500004,-1,0,,,False,False,False,False,,,False,False,False,False,8989159,2774916.702435062,False,False,False,False,1604000.9487558464,False,False,False,False
2022-02-25 00:00:00+00:00,40.0005692383,40.7212180341,38.5319052366,40.7212180341,1329646,,,,,,37.617739279003445,,0.0,0.0,0.0,0.0,,#000000,,,,90.2245813127194,41.138525955416384,False,False,True,False,False,,40.087229536500004,31.645832328150007,-1,0,,,False,False,False,False,,,False,False,False,False,10318805,3333723.2429954275,False,False,False,False,1583678.3599591171,False,False,False,False
2022-03-04 00:00:00+00:00,42.3166106071,42.41753921,39.7451494119,40.0735463315,2486669,,,,,,38.05517172602504,,0.0,0.0,0.0,0.0,,#000000,,,,89.18180944394058,40.34853274068075,False,True,True,False,False,,40.087229536500004,32.9365651347625,1,0,,,False,False,False,False,,,False,False,False,False,12805474,4035334.4101809515,False,False,False,False,1650566.555517701,False,False,False,False
2022-03-11 00:00:00+00:00,41.5458830939,43.7846630132,39.536486363,43.1240394305,4611274,,,,,,38.67259961713827,,0.0,0.0,0.0,0.0,,#000000,,,,86.90611924884863,38.35481912897397,False,True,True,False,False,,50.40638774675,32.9365651347625,1,1,,,False,False,False,False,,,False,False,False,False,8194200,4343398.527945326,False,False,False,False,1869878.2180719455,False,False,False,False
