date,Open,High,Low,Close,Volume,aVWAP_OB_bull_872,aVWAP_OB_bull_774,aVWAP_OB_bull_666,aVWAP_OB_bull_642,aVWAP_OB_bull_604,aVWAP_OB_bear_482,OB,OB_High,OB_Low,OB_Mitigated_Index,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-02 15:00:00+00:00,85.43,86.55,85.33,85.505,5403.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,,,False,False,False,False,False,,85.94,85.94,1,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,5403.0,False,False,False,False
2024-12-02 16:00:00+00:00,85.495,85.99,85.27,85.27,6154.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,0.0,,False,False,False,True,False,,85.63,85.63,-1,0,,,False,False,False,False,,,False,False,False,False,-6154.0,-95.41085271317829,False,False,False,False,5414.643410852713,False,False,False,False
2024-12-02 17:00:00+00:00,85.27,85.605,85.015,85.21,5166.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,0.0,-50.0,False,False,False,True,True,,85.31,85.31,-1,0,,,False,False,False,False,,,False,False,False,False,-11320.0,-269.4354906556096,False,False,False,False,5410.788474250345,False,False,False,False
2024-12-02 18:00:00+00:00,85.165,85.22,84.93,85.19,4953.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,0.0,-50.0,False,False,False,True,True,,85.075,85.31,1,0,,,False,False,False,False,,,False,False,False,False,-16273.0,-517.5527698702513,False,False,False,False,5403.690978525533,False,False,False,False
2024-12-02 19:00:00+00:00,85.19,85.28,84.935,85.19,6707.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,0.0,-50.0,False,False,False,True,True,,85.075,85.31,-1,0,,,False,False,False,False,,,False,False,False,False,-16273.0,-761.8232695621853,False,False,False,False,5423.897319943742,False,False,False,False
2024-12-02 20:00:00+00:00,85.22,85.28,84.92,85.03,10997.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,0.0,-50.0,False,False,False,True,True,,85.075,85.31,-1,0,,,False,False,False,False,,,False,False,False,False,-27270.0,-1172.8027537550195,False,False,False,False,5510.302012657792,False,False,False,False
2024-12-03 15:00:00+00:00,88.02,89.2,87.7,88.005,10958.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,25.58408342274106,-26.547923529154026,False,False,False,True,True,,85.075,88.45,1,0,,,False,False,False,False,,,False,False,False,False,-16312.0,-1407.5189901309107,False,False,False,False,5594.762446570074,False,False,False,False
2024-12-03 16:00:00+00:00,87.94,88.455,87.55,88.14,6423.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,43.986240976863044,-11.100617072472268,False,False,False,False,True,,85.075,88.45,-1,0,,,False,False,False,False,,,False,False,False,False,-9889.0,-1539.014819741284,False,False,False,False,5607.603338871312,False,False,False,False
2024-12-03 17:00:00+00:00,88.14,89.08,88.1,89.075,6320.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,57.833588416638435,-0.31789356897455434,False,False,True,False,True,,88.59,88.59,1,0,,,False,False,False,False,,,False,False,False,False,-3569.0,-1570.4874581949075,False,False,False,False,5618.648248346175,False,False,False,False
2024-12-03 18:00:00+00:00,89.03,89.42,88.8,88.88,10333.0,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,66.31439851060034,5.5544013387869455,False,False,True,False,True,,88.59,89.11,-1,0,,,False,False,False,False,,,False,False,False,False,-13902.0,-1761.673699153126,False,False,False,False,5691.738973178018,False,False,False,False
