date,Open,High,Low,Close,Volume,aVWAP_OB_bull_786,aVWAP_OB_bull_744,aVWAP_OB_bull_233,aVWAP_OB_bear_641,aVWAP_OB_bear_488,aVWAP_OB_bear_419,aVWAP_OB_bear_328,aVWAP_OB_bear_287,OB,OB_High,OB_Low,OB_Mitigated_Index,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-02 15:00:00+00:00,19.28,19.445,19.27,19.34,365.0,,,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,,,False,False,False,False,False,,19.3575,19.3575,1,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,365.0,False,False,False,False
2024-12-02 16:00:00+00:00,19.34,19.42,19.34,19.37,371.0,,,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,100.0,,False,False,True,False,False,,19.3575,19.380000000000003,1,0,,,False,False,False,False,,,False,False,False,False,371.0,5.751937984496124,False,False,False,False,365.09302325581393,False,False,False,False
2024-12-02 17:00:00+00:00,19.37,19.465,19.37,19.45,325.0,,,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,100.0,50.0,False,False,True,False,True,,19.4175,19.4175,1,0,,,False,False,False,False,,,False,False,False,False,696.0,16.453458325821764,False,False,False,False,364.4714259960339,False,False,False,False
2024-12-02 18:00:00+00:00,19.45,19.47,19.44,19.47,237.0,,,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,100.0,50.0,False,False,True,False,True,,19.455,19.455,1,0,,,False,False,False,False,,,False,False,False,False,933.0,30.663482227747004,False,False,False,False,362.4951248178008,False,False,False,False
2024-12-02 19:00:00+00:00,19.45,19.55,19.45,19.54,919.0,,,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,100.0,50.0,False,False,True,False,True,,19.5,19.5,1,0,,,False,False,False,False,,,False,False,False,False,1852.0,58.90125769708426,False,False,False,False,371.1231073787651,False,False,False,False
2024-12-02 20:00:00+00:00,19.54,19.575,19.45,19.46,3633.0,,,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,90.50628858684519,41.29743120460809,False,False,True,False,False,,19.5,19.5125,-1,0,,,False,False,False,False,,,False,False,False,False,-1781.0,30.37565680255582,False,False,False,False,421.69484214808654,False,False,False,False
2024-12-03 15:00:00+00:00,19.46,19.46,19.21,19.45,1235.0,,,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,82.89151769905226,34.84465296930651,False,False,True,False,False,,19.335,19.5125,1,0,,,False,False,False,False,,,False,False,False,False,-3016.0,-16.8549735354683,False,False,False,False,434.3042244403643,False,False,False,False
2024-12-03 16:00:00+00:00,19.45,19.48,19.38,19.43,884.0,,,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,75.85249898591455,29.14490473343109,False,False,True,False,False,,19.335,19.5125,-1,0,,,False,False,False,False,,,False,False,False,False,-3900.0,-77.05877239538353,False,False,False,False,441.27625196842064,False,False,False,False
2024-12-03 17:00:00+00:00,19.41,19.515,19.4,19.5,1815.0,,,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,73.83508693890006,28.13420358433561,False,False,True,False,False,,19.335,19.5125,-1,0,,,False,False,False,False,,,False,False,False,False,-2085.0,-108.18964414119154,False,False,False,False,462.5742945735614,False,False,False,False
2024-12-03 18:00:00+00:00,19.49,19.64,19.48,19.62,1156.0,,,,,,,,,0.0,0.0,0.0,0.0,#000000,,,,75.26949451068504,28.13420358433561,False,False,True,False,False,,19.560000000000002,19.560000000000002,1,0,,,False,False,False,False,,,False,False,False,False,-929.0,-120.91538609249088,False,False,False,False,473.32508070420386,False,False,False,False
