date,Close,High,Low,Open,Volume,aVWAP_OB_bull_111,aVWAP_OB_bull_10,aVWAP_OB_bear_158,aVWAP_OB_bear_117,aVWAP_OB_bear_55,aVWAP_OB_bear_49,aVWAP_OB_bear_13,aVWAP_OB_bear_0,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,7.0,7.9796,7.0,7.9796,5697879,,,,,,,,7.326533333333333,-1.0,7.9796,7.0,0.0,,#000000,,,,,,False,False,False,False,False,,7.4898,7.4898,1,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,5697879.0,False,False,False,False
2022-01-07 00:00:00+00:00,6.48,7.42,6.32,7.04,7524570,,,,,,,,6.992751662176953,0.0,0.0,0.0,0.0,,#000000,,,,0.0,,False,False,False,True,False,,6.87,6.87,-1,0,,,False,False,False,False,,,False,False,False,False,-7524570,-557375.5555555555,False,False,False,False,5833189.444444444,False,False,False,False
2022-01-14 00:00:00+00:00,6.56,7.2,6.4,6.708,8937112,,,,,,,,6.882748934547936,0.0,0.0,0.0,0.0,,#000000,,,,3.144654088050291,-56.28930817610058,False,False,False,True,True,,6.800000000000001,6.800000000000001,-1,0,,,False,False,False,False,,,False,False,False,False,1412542,-411455.73662551434,False,False,False,False,6063109.633744856,False,False,False,False
2022-01-21 00:00:00+00:00,5.76,6.5848,5.68,6.52,5096854,,,,,,,,6.719223817800935,0.0,0.0,0.0,0.0,,#000000,,,,3.695618894050413,-55.61676418500436,False,False,False,True,True,,6.1324000000000005,6.1324000000000005,-1,0,,,False,False,False,False,,,False,False,False,False,-3684312,-653889.5339125133,False,False,False,False,5991535.142356348,False,False,False,False
2022-01-28 00:00:00+00:00,5.6,5.84,5.2,5.48,6714922,,,,,,,,6.4874510792004845,0.0,0.0,0.0,0.0,5.546666666666666,#000000,,5.546666666666666,,3.9812271162642685,-55.105953799007345,False,False,False,True,True,,5.52,6.1324000000000005,1,0,,,False,False,False,False,,,False,False,False,False,-10399234,-1375766.9017708455,False,False,False,False,6045119.3540336555,False,False,False,False
2022-02-04 00:00:00+00:00,6.08,6.48,5.6,5.64,5458655,,,,,,,,6.427352182805414,0.0,0.0,0.0,0.0,5.773856960311116,#000000,,5.773856960311116,,9.878716612157822,-49.1705015147862,False,False,False,True,True,,5.52,6.1324000000000005,-1,0,,,False,False,False,False,,,False,False,False,False,-4940579,-1639827.0571952274,False,False,False,False,6001677.550031162,False,False,False,False
2022-02-11 00:00:00+00:00,6.88,6.96,6.04,6.08,6768806,,,,,,,,6.456554697430295,0.0,0.0,0.0,0.0,6.078597048041245,#000000,,6.078597048041245,,19.47295102283853,-39.85553754905934,False,False,False,True,True,,6.5,6.5,1,0,,,False,False,False,False,,,False,False,False,False,1828227,-1382934.164069655,False,False,False,False,6058501.879658484,False,False,False,False
2022-02-18 00:00:00+00:00,6.12,6.96,6.0932,6.68,5789215,,,,,,,,6.4492621646301425,0.0,0.0,0.0,0.0,6.27140357025319,#000000,,6.27140357025319,,24.00926652924708,-35.59992063249558,False,False,False,True,True,,6.5,6.5,-1,1,,,False,False,False,False,,,False,False,False,False,-3960988,-1573901.11487931,False,False,False,False,6038554.703387485,False,False,False,False
2022-02-25 00:00:00+00:00,5.96,6.12,5.2,6.08,3488066,,,,,,,,6.405924712436868,0.0,0.0,0.0,0.0,6.1285591922449,#000000,,6.1285591922449,,27.06763388438295,-32.74968055557939,False,False,False,True,True,,6.5,3.0231500000000002,-1,1,,,False,False,False,False,,,False,False,False,False,-7449054,-2009097.62488825,False,False,False,False,5849629.614247671,False,False,False,False
2022-03-04 00:00:00+00:00,5.52,6.08,5.4,5.848,3792510,,,,,,,,6.358620675366508,0.0,0.0,0.0,0.0,6.032017407444258,#000000,,6.032017407444258,,28.312413145244548,-31.569202231833206,True,False,False,True,True,,6.5,3.26065,-1,1,,,False,False,False,False,,,False,False,False,False,-11241564,-2692984.0230446756,False,False,False,False,5697250.383562659,False,False,False,False
