date,Open,High,Low,Close,Volume,aVWAP_OB_bull_873,aVWAP_OB_bull_744,aVWAP_OB_bull_689,aVWAP_OB_bull_605,OB,OB_High,OB_Low,OB_Mitigated_Index,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-02 15:00:00+00:00,5.3,5.305,5.3,5.305,30.0,,,,,0.0,0.0,0.0,0.0,#000000,,,,,,False,False,False,False,False,,5.3025,5.3025,1,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,30.0,False,False,False,False
2024-12-02 16:00:00+00:00,5.305,5.31,5.29,5.305,229.0,,,,,0.0,0.0,0.0,0.0,#000000,,,,,,False,False,False,False,False,,5.3,5.3025,1,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,33.08527131782946,False,False,False,False
2024-12-02 17:00:00+00:00,5.305,5.305,5.3,5.305,15.0,,,,,0.0,0.0,0.0,0.0,#000000,,,,,,False,False,False,False,False,,5.3025,5.3025,1,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,32.80487951445225,False,False,False,False
2024-12-02 18:00:00+00:00,5.305,5.315,5.305,5.31,700.0,,,,,0.0,0.0,0.0,0.0,#000000,,,,100.0,,False,False,True,False,False,,5.3025,5.3100000000000005,-1,0,,,False,False,False,False,,,False,False,False,False,700.0,10.852713178294573,False,False,False,False,43.14898990957702,False,False,False,False
2024-12-02 19:00:00+00:00,5.315,5.335,5.305,5.335,200.0,,,,,0.0,0.0,0.0,0.0,#000000,,,,100.0,50.0,False,False,True,False,True,,5.32,5.32,1,0,,,False,False,False,False,,,False,False,False,False,900.0,24.63794243134427,False,False,False,False,45.58078851563008,False,False,False,False
2024-12-02 20:00:00+00:00,5.335,5.34,5.33,5.335,121.0,,,,,0.0,0.0,0.0,0.0,#000000,,,,100.0,50.0,False,False,True,False,True,,5.335,5.335,1,0,,,False,False,False,False,,,False,False,False,False,900.0,38.20944719985056,False,False,False,False,46.750078616162945,False,False,False,False
2024-12-03 15:00:00+00:00,5.31,5.31,5.31,5.31,0.0,,,,,0.0,0.0,0.0,0.0,#000000,,,,85.545962968996,36.75046605491299,False,False,True,False,False,,5.31,5.335,-1,0,,,False,False,False,False,,,False,False,False,False,900.0,51.57054104171334,False,False,False,False,46.02527119575732,False,False,False,False
2024-12-03 16:00:00+00:00,5.31,5.32,5.305,5.31,0.0,,,,,0.0,0.0,0.0,0.0,#000000,,,,75.22165080399313,28.089515294271706,False,False,True,False,False,,5.31,5.3125,-1,0,,,False,False,False,False,,,False,False,False,False,900.0,64.72448614184181,False,False,False,False,45.311701099699064,False,False,False,False
2024-12-03 17:00:00+00:00,5.31,5.315,5.31,5.31,1.0,,,,,0.0,0.0,0.0,0.0,#000000,,,,67.84714211470538,22.40499817961239,False,False,True,False,False,,5.31,5.3125,-1,0,,,False,False,False,False,,,False,False,False,False,900.0,77.67449410863496,False,False,False,False,44.62469798187427,False,False,False,False
2024-12-03 18:00:00+00:00,5.31,5.31,5.31,5.31,0.0,,,,,0.0,0.0,0.0,0.0,#000000,,,,62.57963590807127,18.623448970775684,False,False,True,False,False,,5.31,5.31,-1,0,,,False,False,False,False,,,False,False,False,False,900.0,90.42372675811349,False,False,False,False,43.93284219920955,False,False,False,False
