date,Close,High,Low,Open,Volume,aVWAP_OB_bull_177,aVWAP_OB_bull_159,aVWAP_OB_bull_120,aVWAP_OB_bull_95,aVWAP_OB_bear_114,aVWAP_OB_bear_87,aVWAP_OB_bear_0,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,21.4781126988,21.5217319366,21.4083219183,21.4781126988,158131,,,,,,,21.469388851233333,-1.0,21.521732,21.408321,0.0,,#000000,,,,,,False,False,False,False,False,,21.465026927449998,21.465026927449998,1,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,158131.0,False,False,False,False
2022-01-07 00:00:00+00:00,21.1368357822,21.3559788329,21.1143282555,21.3559788329,216045,,,,,,,21.315221506084402,0.0,0.0,0.0,0.0,,#000000,,,,0.0,,False,False,False,True,False,,21.2351535442,21.465026927449998,-1,0,,,False,False,False,False,,,False,False,False,False,-216045,-16003.333333333332,False,False,False,False,162420.92592592593,False,False,False,False
2022-01-14 00:00:00+00:00,21.0680918634,21.1902257293,21.0523016993,21.0523016993,182979,,,,,,,21.24570168936399,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,21.1212637143,21.1212637143,-1,0,,,False,False,False,False,,,False,False,False,False,-399024,-44375.234567901236,False,False,False,False,163943.7462277092,False,False,False,False
2022-01-21 00:00:00+00:00,21.0593680158,21.0680918634,20.9023387597,20.9808533878,209867,,,,,,,21.181192336579137,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,20.98521531155,21.1212637143,1,0,,,False,False,False,False,,,False,False,False,False,-608891,-86191.21719250115,False,False,False,False,167345.46872936038,False,False,False,False
2022-01-28 00:00:00+00:00,20.9678548549,21.0846671737,20.8839314413,21.0593680158,343182,,,,,,,21.118635103659635,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,20.984299307500002,21.1212637143,-1,0,,,False,False,False,False,,,False,False,False,False,-952073,-150330.60851157515,False,False,False,False,180370.39697162996,False,False,False,False
2022-02-04 00:00:00+00:00,20.7454711412,21.0338454241,20.7293920902,20.9285103024,353401,,,,,,,21.05044727401004,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,20.88161875715,20.88161875715,-1,0,,,False,False,False,False,,,False,False,False,False,-1305474,-235896.78565886588,False,False,False,False,193187.47867743517,False,False,False,False
2022-02-11 00:00:00+00:00,20.6318691509,20.7716869851,20.5104024075,20.7411018339,531925,,,,,,,20.940502363730207,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,20.6410446963,20.6410446963,-1,0,,,False,False,False,False,,,False,False,False,False,-1837399,-354526.5793137647,False,False,False,False,218279.14692355107,False,False,False,False
2022-02-18 00:00:00+00:00,20.573407819,20.5881760778,20.4483582436,20.5560179759,139901,,,,,,,20.914044137704554,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,20.6410446963,19.869196105762498,-1,0,,,False,False,False,False,,,False,False,False,False,-1977300,-474732.01788311545,False,False,False,False,212473.3582625473,False,False,False,False
2022-02-25 00:00:00+00:00,20.5007899314,20.5540954807,20.4134911712,20.5339092809,160137,,,,,,,20.884425406114108,0.0,0.0,0.0,0.0,,#000000,,,,0.0,-50.0,False,False,False,True,True,,20.6410446963,19.81728228495,-1,0,,,False,False,False,False,,,False,False,False,False,-2137437,-597895.3498917735,False,False,False,False,208596.59098384008,False,False,False,False
2022-03-04 00:00:00+00:00,20.6504128591,20.8167366592,20.523481538,20.5794374631,194689,,,,,,,20.867156810415906,0.0,0.0,0.0,0.0,,#000000,,,,3.9632265604370973,-46.22254968458339,True,False,False,True,True,,20.6410446963,20.0215372009125,1,0,,,False,False,False,False,,,False,False,False,False,-1942748,-697514.0647146051,False,False,False,False,207566.3990591112,False,False,False,False
