date,Open,High,Low,Close,Volume,aVWAP_OB_bull_603,aVWAP_OB_bear_798,aVWAP_OB_bear_525,OB,OB_High,OB_Low,OB_Mitigated_Index,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-02 15:00:00+00:00,238.78,239.755,238.455,239.48,3096.0,,,,0.0,0.0,0.0,0.0,#000000,,,,,,False,False,False,False,False,,239.10500000000002,239.10500000000002,1,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,3096.0,False,False,False,False
2024-12-02 16:00:00+00:00,239.48,242.22,239.48,241.92,8445.0,,,,0.0,0.0,0.0,0.0,#000000,,,,100.0,,False,False,True,False,False,,240.85,240.85,1,0,,,False,False,False,False,,,False,False,False,False,8445.0,130.93023255813952,False,False,False,False,3178.9302325581393,False,False,False,False
2024-12-02 17:00:00+00:00,241.92,242.2,241.36,241.36,2862.0,,,,0.0,0.0,0.0,0.0,#000000,,,,94.24083769633529,26.963350785341163,False,False,True,False,True,,240.85,241.78,-1,0,,,False,False,False,False,,,False,False,False,False,5583.0,215.45844600685052,False,False,False,False,3174.016585541734,False,False,False,False
2024-12-02 18:00:00+00:00,241.42,241.88,241.28,241.88,3787.0,,,,0.0,0.0,0.0,0.0,#000000,,,,91.1104524426927,26.963350785341163,False,False,True,False,True,,241.57999999999998,241.78,1,0,,,False,False,False,False,,,False,False,False,False,9370.0,357.38932281294586,False,False,False,False,3183.520204370544,False,False,False,False
2024-12-02 19:00:00+00:00,241.875,241.965,241.44,241.78,3951.0,,,,0.0,0.0,0.0,0.0,#000000,,,,88.04498646778757,26.963350785341163,False,False,True,False,True,,241.7025,241.78,1,0,,,False,False,False,False,,,False,False,False,False,5419.0,435.8639069553808,False,False,False,False,3195.4191159306906,False,False,False,False
2024-12-02 20:00:00+00:00,241.8,242.17,241.57,241.65,9330.0,,,,0.0,0.0,0.0,0.0,#000000,,,,84.76492008254039,26.963350785341163,False,False,True,False,True,,241.7025,241.87,-1,0,,,False,False,False,False,,,False,False,False,False,-3911.0,368.47066808785553,False,False,False,False,3290.5288970790516,False,False,False,False
2024-12-03 15:00:00+00:00,243.1,244.655,242.845,244.45,6605.0,,,,0.0,0.0,0.0,0.0,#000000,,,,85.96673752757357,26.963350785341163,False,False,True,False,True,,241.7025,243.75,1,0,,,False,False,False,False,,,False,False,False,False,2694.0,404.5253864120748,False,False,False,False,3341.916045961547,False,False,False,False
2024-12-03 16:00:00+00:00,244.43,245.0,244.295,244.53,5571.0,,,,0.0,0.0,0.0,0.0,#000000,,,,86.87674842131887,26.963350785341163,False,False,True,False,True,,241.7025,244.64749999999998,-1,0,,,False,False,False,False,,,False,False,False,False,8265.0,526.3932098785542,False,False,False,False,3376.4754871094297,False,False,False,False
2024-12-03 17:00:00+00:00,244.53,244.715,244.2,244.715,3488.0,,,,0.0,0.0,0.0,0.0,#000000,,,,87.65063307343641,26.963350785341163,False,False,True,False,True,,244.45749999999998,244.64749999999998,1,0,,,False,False,False,False,,,False,False,False,False,11753.0,700.4491291052434,False,False,False,False,3378.2045493247874,False,False,False,False
2024-12-03 18:00:00+00:00,244.7,244.95,244.54,244.545,3040.0,,,,0.0,0.0,0.0,0.0,#000000,,,,87.20951733886733,26.963350785341163,False,False,True,False,True,,244.45749999999998,244.745,-1,0,,,False,False,False,False,,,False,False,False,False,8713.0,824.6747240028365,False,False,False,False,3372.961067939907,False,False,False,False
