date,Close,High,Low,Open,Volume,aVWAP_OB_bull_817,aVWAP_OB_bull_649,aVWAP_OB_bull_457,aVWAP_OB_bull_301,aVWAP_OB_bull_196,aVWAP_OB_bear_735,aVWAP_OB_bear_590,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,47.4807359344,47.9575014378,47.4253970814,47.693577677,351899,,,,,,,,#000000,,,,,,False,False,False,False,False,,47.6914492596,47.6914492596,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,351899.0,False,False,False,False
2022-01-04 00:00:00+00:00,47.4041129071,47.9745287772,47.3615445586,47.9064194196,1175591,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,47.6680366679,47.6680366679,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1175591,-46101.60784313725,False,False,False,False,384200.6470588235,False,False,False,False
2022-01-05 00:00:00+00:00,47.2764078616,47.8766215756,47.2253258433,47.5743863012,787302,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,47.55097370945,47.55097370945,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1962893,-121269.89773164167,False,False,False,False,400008.5432525951,False,False,False,False
2022-01-06 00:00:00+00:00,47.3530308889,47.6169546497,46.9018063946,47.3274898798,692251,,,,,,,,#000000,,,,5.229989134371649,-44.9269105396595,False,False,False,True,True,,47.259380522149996,47.55097370945,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1270642,-166343.3135068714,False,False,False,False,411469.03175249335,False,False,False,False
2022-01-07 00:00:00+00:00,47.7531733649,47.8723647408,47.3445172192,47.3445172192,675416,,,,,,,,#000000,,,,17.451728583671834,-33.19734301306324,False,False,False,True,True,,47.60844098,47.60844098,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-595226,-183162.24238895485,False,False,False,False,421819.8932523956,False,False,False,False
2022-01-10 00:00:00+00:00,47.6169546497,47.9149330893,47.3232330449,47.9149330893,548464,,,,,,,,#000000,,,,25.0727299014774,-26.19714027621467,False,False,False,True,True,,47.60844098,47.6190830671,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1143690,-220829.99758938802,False,False,False,False,426786.32881112525,False,False,False,False
2022-01-11 00:00:00+00:00,48.2895345562,48.3321029047,47.4722222647,47.6978345119,459069,,,,,,,,#000000,,,,34.88990263151096,-17.164630876880366,False,False,True,False,True,,47.9021625847,47.9021625847,1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-684621,-239017.880036863,False,False,False,False,428052.31591657136,False,False,False,False
2022-01-12 00:00:00+00:00,48.7152180414,49.0046828113,48.4512942806,48.4938626291,843868,,,,,,,,#000000,,,,43.85329010452326,-9.085176990840914,False,False,True,False,True,,47.9021625847,48.72798854595,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,159247,-223399.6494471821,False,False,False,False,444358.81333160785,False,False,False,False
2022-01-13 00:00:00+00:00,49.0302238204,49.2686065721,48.8344094172,48.8344094172,592691,,,,,,,,#000000,,,,51.64821358164069,-2.2107027525313754,False,False,True,False,True,,47.9021625847,49.051507994649995,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,751938,-185151.1141747436,False,False,False,False,450175.7618284075,False,False,False,False
2022-01-14 00:00:00+00:00,48.9536007931,49.2004972145,48.5364309776,48.5875129958,523969,,,,,,,,#000000,,,,57.40200906290637,2.663504144203671,False,False,True,False,True,,47.9021625847,49.051507994649995,-1,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,227969,-168950.32538357718,False,False,False,False,453069.61430572486,False,False,False,False
