date,Open,High,Low,Close,Volume,aVWAP_OB_bull_851,aVWAP_OB_bull_786,aVWAP_OB_bear_716,aVWAP_OB_bear_503,aVWAP_OB_bear_60,aVWAP_OB_bear_31,OB,OB_High,OB_Low,OB_Mitigated_Index,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-11 15:00:00+00:00,74.13,74.13,73.355,73.36,161.0,,,,,,76.44700482192557,0.0,0.0,0.0,0.0,#000000,,76.1634890651706,,39.80200935676229,-0.7254552170945132,False,True,False,True,False,,75.83125,71.65375000000002,-1,0,,,False,False,False,False,,,False,False,False,False,6616.0,1817.1390821262273,False,False,False,False,592.120429282369,False,False,False,False
2024-12-11 16:00:00+00:00,73.36,73.39,73.23,73.375,292.0,,,,,,76.39936519158593,0.0,0.0,0.0,0.0,#000000,,76.13023927573069,,36.2358130797863,-3.9759008513098024,False,True,False,True,False,,75.3884375,71.23156250000001,-1,0,,,False,False,False,False,,,False,False,False,False,6908.0,1896.0671583723322,False,False,False,False,587.4673993710144,False,False,False,False
2024-12-11 17:00:00+00:00,73.375,73.375,72.68,72.845,25.0,,,,,,76.39487683054394,0.0,0.0,0.0,0.0,#000000,,76.12706915495355,,32.81353783728785,-7.16561204581911,False,True,False,True,False,,75.21374999999999,70.84125000000002,-1,0,,,False,False,False,False,,,False,False,False,False,6883.0,1973.3839466146217,False,False,False,False,578.7469745745645,False,False,False,False
2024-12-11 18:00:00+00:00,72.845,73.54,72.845,73.41,463.0,,,,,,76.32087729152836,0.0,0.0,0.0,0.0,#000000,,76.07489782173762,,32.88318082783609,-7.207019609313086,False,True,False,True,False,,75.21374999999999,71.0221875,-1,0,,,False,False,False,False,,,False,False,False,False,7346.0,2056.680319535325,False,False,False,False,576.9524478369743,False,False,False,False
2024-12-11 19:00:00+00:00,73.32,73.48,73.32,73.41,196.0,,,,,,76.29196588974838,0.0,0.0,0.0,0.0,#000000,,76.05444895176502,,32.93292582108484,-7.505519850346566,False,True,False,True,False,,75.21374999999999,71.48375000000001,-1,0,,,False,False,False,False,,,False,False,False,False,7346.0,2138.6852758215987,False,False,False,False,571.0462083356259,False,False,False,False
2024-12-11 20:00:00+00:00,73.41,73.86,73.37,73.78,1579.0,,,,,,76.0981235758654,0.0,0.0,0.0,0.0,#000000,,75.91611480261562,,34.58075850162344,-7.505519850346566,False,True,False,True,False,,75.21374999999999,71.84500000000001,-1,0,,,False,False,False,False,,,False,False,False,False,8925.0,2243.8994575918064,False,False,False,False,586.6733989040658,False,False,False,False
2024-12-12 15:00:00+00:00,74.15,74.15,72.61,73.47,349.0,,,,,,76.05490456227638,0.0,0.0,0.0,0.0,#000000,,75.3896048187356,,34.96067523885789,-7.505519850346566,False,True,False,True,False,,75.21374999999999,71.364375,-1,0,,,False,False,False,False,,,False,False,False,False,8576.0,2342.0715590244918,False,False,False,False,582.9885400063284,False,False,False,False
2024-12-12 16:00:00+00:00,73.47,73.8,73.44,73.44,70.0,,,,,,76.04688493976825,0.0,0.0,0.0,0.0,#000000,,75.38992387917486,,35.153907671752734,-7.505519850346566,False,True,False,True,False,0.0,75.21374999999999,71.5875,-1,0,,,False,False,False,False,,,False,False,False,False,8506.0,2437.63634105512,False,False,False,False,575.0352293085558,False,False,False,False
2024-12-12 17:00:00+00:00,73.39,74.205,73.34,74.16,1237.0,,,,,,75.9315796906231,0.0,0.0,0.0,0.0,#000000,,75.39210204974758,,38.37024347370876,-7.505519850346566,False,True,False,True,True,0.0,75.21374999999999,71.70625000000001,-1,0,,,False,False,False,False,,,False,False,False,False,9743.0,2550.897793131785,False,False,False,False,585.2982490091983,False,False,False,False
2024-12-12 18:00:00+00:00,74.16,74.57,74.03,74.37,1611.0,,,,,,75.82636609137055,0.0,0.0,0.0,0.0,#000000,,75.20668700318686,,41.44801552477087,-7.505519850346566,False,True,False,True,True,0.0,75.21374999999999,72.183125,-1,0,,,False,False,False,False,,,False,False,False,False,11354.0,2687.3799978894317,False,False,False,False,601.2006017377379,False,False,False,False
2024-12-12 19:00:00+00:00,74.33,74.56,74.22,74.455,1793.0,,,,,,75.73034988770281,0.0,0.0,0.0,0.0,#000000,,75.18774913214669,,43.96885658293816,-13.492959034517831,False,True,False,True,True,0.0,75.21374999999999,72.53562500000001,-1,0,,,False,False,False,False,,,False,False,False,False,13147.0,2849.5446490849445,False,False,False,False,619.6781117883156,False,False,False,False
2024-12-12 20:00:00+00:00,74.455,74.51,73.95,74.265,4011.0,,,,,,75.53411904214181,0.0,0.0,0.0,0.0,#000000,,75.07848907204965,,45.02634189558279,-12.218469139734431,False,True,False,False,True,0.0,75.21374999999999,72.35125000000001,-1,0,,,False,False,False,False,,,False,False,False,False,9136.0,2947.0090731301393,False,False,False,False,672.2567457140781,False,False,False,False
2024-12-13 15:00:00+00:00,73.56,74.04,73.135,73.96,5425.0,,,,,,75.2583672672505,0.0,0.0,0.0,0.0,#000000,,74.85402625649796,,44.64155296857405,-12.218469139734431,False,True,False,True,True,0.0,75.21374999999999,71.55312500000001,-1,0,,,False,False,False,False,,,False,False,False,False,3711.0,2958.853893701765,False,False,False,False,745.9426876409916,False,False,False,False
